"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","점포구분명"
"3170000","2013317014207500002","2013-09-06","","01","영업/정상","1","정상영업","","","","","02-2109-7000","24253.99","153-023","서울특별시 금천구 가산동 60번지 22호","서울특별시 금천구 디지털로 185 (가산동)","153-801","마리오아울렛 1관","2023-02-28 20:56:47","U","2022-12-03 00:03:00.0","쇼핑센터","189943.234285288","441784.247518723",""
"3170000","2012317014207500004","2012-09-13","","01","영업/정상","1","정상영업","","","","","02-2109-7013","32887.19","153-801","서울특별시 금천구 가산동 60번지 20호","서울특별시 금천구 벚꽃로 266 (가산동)","","마리오아울렛 3관","2023-02-28 21:05:56","U","2022-12-03 00:03:00.0","쇼핑센터","189759.713050655","441814.115920983",""
"3140000","2012314011407500001","2012-04-05","","01","영업/정상","1","정상영업","","","","","0226470824","496","158-753","서울특별시 양천구 목5동 903번지 목동3단지아파트 관리동상가 105호","서울특별시 양천구 목동서로 100, 105호 (목동,목동3단지아파트 관리동상가)","","롯데슈퍼 목동2점","2023-03-09 09:25:54","U","2022-12-02 23:01:00.0","구분없음","188700.851169641","448020.090999138",""
"3180000","2001318007607500029","1999-05-31","","01","영업/정상","1","정상영업","","","","","02-2679-3350","41973.81","150-723","서울특별시 영등포구 당산동2가 30번지 2호","서울특별시 영등포구 영등포로 109 (당산동2가)","150-723","영등포유통상가","2023-03-09 15:28:54","U","2022-12-02 23:01:00.0","그 밖의 대규모점포","190555.768991595","446698.814322782",""
"3210000","2012321012207500002","2012-04-24","","01","영업/정상","1","정상영업","","","","","02-536-0004","1049.58","137-061","서울특별시 서초구 방배1동 816번지 1호","서울특별시 방배로33길 29","137-832","롯데슈퍼 방배2점","2023-03-13 17:40:32","U","2022-12-02 23:05:00.0","대형마트","198984.364832071","443229.835878514",""
"3050000","2023305021007500001","2023-03-14","","01","영업/정상","5","영업개시전","","","","","02-2006-2364","307.23","","서울특별시 동대문구 장안동 310-8 희헌빌딩","서울특별시 동대문구 장한로28가길 45, 희헌빌딩 (장안동)","02523","GS THE FRESH 동대문장안점","2023-03-14 09:57:17","I","2022-12-02 23:06:00.0","구분없음","206341.538776724","452530.018811546",""
"3220000","2001322008307500007","1985-07-08","","01","영업/정상","1","정상영업","","","","","0234494406","10250","","서울특별시 강남구 압구정동 515호","서울특별시 강남구 압구정로 407 (압구정동, 갤러리아백화점)","135-902","갤러리아백화점(동관)","2023-03-28 11:23:26","U","2022-12-02 21:00:00.0","백화점","203604.761651873","447316.222786487",""
"3060000","2023306020207500001","2023-04-04","","01","영업/정상","1","정상영업","","","","","","151.47","","서울특별시 중랑구 망우동 580 중랑숲금호어울림","서울특별시 중랑구 양원역로 18, 103~106호 (망우동, 중랑숲금호어울림)","02063","GS THE FRESH 중랑망우점","2024-02-13 14:19:13","U","2023-12-01 23:05:00.0","그 밖의 대규모점포","209579.542671166","455549.589368255",""
"3120000","2018312018307500001","2012-02-07","","01","영업/정상","1","정상영업","","","","","02-739-6780","1573","","서울특별시 서대문구 홍제동 469번지 인왕산 한신휴플러스","서울특별시 서대문구 통일로 397, 지4층 (홍제동, 인왕산 한신휴플러스)","03730","롯데슈퍼 홍제2점","2023-03-15 09:23:03","U","2022-12-02 23:07:00.0","구분없음","195281.395461663","453657.534811024",""
"3150000","2011315012307500003","2011-07-14","","01","영업/정상","1","정상영업","","","","","02-2643-2211","1524.6","157-900","서울특별시 강서구 화곡4동 830번지 1호","서울특별시 강서구 등촌로5길 80 (화곡동)","157-900","씨에스유통 (롯데슈퍼화곡2점)","2023-03-15 17:39:32","U","2022-12-02 23:07:00.0","그 밖의 대규모점포","187464.403178638","447877.710664426",""
"3120000","2018312018307500002","2011-07-01","","01","영업/정상","1","정상영업","","","","","02-395-3674","2040","","서울특별시 서대문구 홍제동 294번지 46호 유진상가","서울특별시 서대문구 통일로 484, 유진상가 1층 (홍제동)","03628","롯데슈퍼 유진점","2023-03-15 09:19:47","U","2022-12-02 23:07:00.0","구분없음","194850.361025035","454344.432517428",""
"3120000","1970312009307500001","1970-08-14","","01","영업/정상","1","정상영업","","","","","02-3216-9393","6606","120-857","서울특별시 서대문구 홍제3동 294번지 6호","서울특별시 통일로 484 (유진상가)","120-760","유진상가","2023-03-15 09:20:00","U","2022-12-02 23:07:00.0","시장","194811.756333333","454300.739666667",""
"3220000","2001322008307500028","1985-03-18","","01","영업/정상","1","정상영업","","","","","0234494305","15358","","서울특별시 강남구 압구정동 494호","서울특별시 강남구 압구정로 343 (압구정동, 갤러리아백화점)","135-902","갤러리아백화점(서관)","2023-03-28 11:22:24","U","2022-12-02 21:00:00.0","백화점","203470.848439305","447369.579851952",""
"3050000","2023305021007500002","2023-03-14","","01","영업/정상","1","정상영업","","","","","02-2006-2364","307.23","","서울특별시 동대문구 장안동 310-8 희헌빌딩","서울특별시 동대문구 장한로28가길 45, 희헌빌딩 (장안동)","02523","GS THE FRESH 동대문장안점","2023-07-10 09:11:32","U","2022-12-06 23:03:00.0","구분없음","206341.538776724","452530.018811546",""
"3010000","2014301013007500005","19680730","","01","영업/정상","1","정상영업","","","","","2265-9611","19023.64","","","서울특별시 중구 장충단로13길 34 (을지로6가)","100850","동화상가","2016-03-28 15:58:37","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","200543.754911579    ","451888.040346722    ","대규모점포"
