"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명"
"3040000","CDFH3301062023000004","2023-02-28","","01","영업/정상","13","영업중","","","","","","","","서울특별시 광진구 구의동 78-7 국제빌딩","서울특별시 광진구 자양로 257, 국제빌딩 3층 (구의동)","04992","발레전문체력 능동센터","2023-02-28 09:29:22","I","2022-12-03 00:03:00.0","","207848.07465793","449668.698815134","","","","","","","","",""
"3150000","CDFH3301062021000014","2021-06-02","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강서구 화곡동 343-62 라인씨티","서울특별시 강서구 곰달래로 125, 401호 (화곡동, 라인씨티)","07774","MY FIRST GYM","2023-02-28 09:13:49","U","2022-12-03 00:03:00.0","","186386.861573478","447625.801061348","","","","","","","","",""
"3050000","CDFH3301062015000004","2015-11-09","","01","영업/정상","13","영업중","","","","","02-2244-2450","","","서울특별시 동대문구 답십리동 242-3","서울특별시 동대문구 전농로 91, 5층 (답십리동)","02540","비피짐","2023-02-28 17:30:28","U","2022-12-03 00:03:00.0","","204985.014594054","452322.526330683","","","","","","","","",""
"3230000","CDFH3301062023000009","2023-03-02","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 가락동 166-8","서울특별시 송파구 동남로 238, 오성빌딩 5층 (가락동)","05769","조이필라위드짐","2023-03-02 09:24:08","I","2022-12-03 00:04:00.0","","211741.980474587","443948.57600694","","","","","","","","",""
"3180000","CDFH3301062020000008","2020-08-18","","01","영업/정상","13","영업중","","","","","","","","서울특별시 영등포구 양평동4가 64-4","서울특별시 영등포구 선유로49길 4 (양평동4가)","07208","레드핏 휘트니스","2023-03-02 10:51:08","U","2022-12-03 00:04:00.0","","190825.994376401","448191.347586673","","","","","","","","",""
"3140000","CDFH3301062023000005","2023-03-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 양천구 신정동 282-10","서울특별시 양천구 목동동로8길 29, 5층 (신정동)","08017","제이미휘트니스","2023-03-03 12:55:32","I","2022-12-03 00:05:00.0","","188596.339869239","446018.924908482","","","","","","","","",""
"3240000","CDFH3301062023000006","2023-03-03","","01","영업/정상","13","영업중","","","","","02-428-5888","","","서울특별시 강동구 고덕동 503 지층","서울특별시 강동구 동남로81길 44, 지층 (고덕동)","05226","사운드바디짐","2023-03-03 12:57:51","I","2022-12-03 00:05:00.0","","213582.214076458","450874.52246226","","","","","","","","",""
"3230000","CDFH3301062021000006","2021-05-10","","01","영업/정상","13","영업중","","","","","02-417-9682","","","서울특별시 송파구 신천동 7-28 현대타워아파트","서울특별시 송파구 올림픽로 293-19, 305, 306, 307호 (신천동, 현대타워아파트)","05510","로그짐 잠실역점","2023-03-03 09:36:39","U","2022-12-03 00:05:00.0","","208992.217212857","445885.719952303","","","","","","","","",""
"3170000","CDFH3301062023000002","2023-03-02","","01","영업/정상","13","영업중","","","","","02-808-0337","","","서울특별시 금천구 시흥동 991-5","서울특별시 금천구 시흥대로 189, 인피니움타워 311~316호 (시흥동)","08635","프리미엄 데이원 휘트니스","2024-02-20 19:41:42","U","2023-12-01 22:02:00.0","","191231.716409842","438732.994399228","","","","","","","","",""
"3230000","CDFH3301061994000006","1994-12-02","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 가락동 2-9 김해빌딩","서울특별시 송파구 오금로 300, 김해빌딩 4층, 5층 (가락동)","05700","바디웍","2023-03-03 09:51:09","U","2022-12-03 00:05:00.0","","211046.297863378","444565.558982422","","","","","","","","",""
"3040000","CDFH3301062019000007","2019-05-27","","03","폐업","03","폐업","2023-03-06","","","","","","","서울특별시 광진구 자양동 553-428 보은빌딩","서울특별시 광진구 뚝섬로 523, 보은빌딩 지하 1층 (자양동)","05074","A2GYM(에이투짐)","2023-03-06 13:07:01","U","2022-12-03 00:08:00.0","","205957.334963839","448148.563344309","","","","","","","","",""
"3150000","CDFH3301062012000007","2012-05-24","","03","폐업","03","폐업","2023-03-06","","","","","","157-838","서울특별시 강서구 등촌동 628-1 8층","서울특별시 강서구 화곡로 420, 8층 (등촌동)","07548","핵 짐","2023-03-06 10:59:57","U","2022-12-03 00:08:00.0","","187131.789306609","450927.486847784","","","","","","","","",""
"3130000","CDFH3301062014000001","2014-04-25","","01","영업/정상","13","영업중","","","","","02-336-6434","","121-819","서울특별시 마포구 동교동 205-17 지하1층","서울특별시 마포구 월드컵북로 30, 지하1층 (동교동)","03992","VIP 휘트니스","2023-03-13 17:09:17","U","2022-12-02 23:05:00.0","","192811.913260129","450565.429954424","","","","","","","","",""
"3080000","CDFH3301062023000006","2023-11-01","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강북구 미아동 49-163 스톤브릭","서울특별시 강북구 오패산로 114, 스톤브릭 2층 (미아동)","01237","라이프빌딩 PT","2023-11-01 11:12:51","I","2022-11-01 00:03:00.0","","203022.177946263","456644.602246467","","","","","","","","",""
