법정동명,CCTV수
가락동,258
가리봉동,326
가산동,257
가양동,85
가회동,9
갈월동,52
갈현동,423
감북동,1
감이동,1
감일동,4
강일동,62
개봉동,558
개포동,637
개화동,76
거여동,427
계동,6
고덕동,304
고척동,452
공근면 부창리,3
공릉동,342
공평동,3
공항동,114
관수동,6
관철동,9
관훈동,3
광장동,63
광희동1가,24
광희동2가,32
교남동,7
구기동,33
구로동,1106
구산동,204
구의동,149
군자동,51
궁동,136
궁정동,1
권농동,3
금호동1가,60
금호동2가,82
금호동3가,95
금호동4가,145
길동,316
길음동,132
낙원동,10
남가좌동,284
남대문로2가,4
남대문로3가,12
남대문로4가,13
남대문로5가,35
남산동1가,14
남산동2가,27
남영동,22
남창동,43
남학동,2
내곡동,42
내발산동,156
내자동,4
냉천동,8
노량진동,162
녹번동,263
논현동,790
누상동,25
누하동,17
능동,34
다동,20
단월면 명성리,4
답십리동,319
당산동,27
당산동1가,79
당산동2가,21
당산동3가,36
당산동4가,40
당산동5가,15
당산동6가,93
당주동,3
대림동,598
대방동,120
대신동,33
대조동,196
대치동,561
대현동,62
도곡동,284
도림동,226
도봉동,3
도선동,57
도원동,9
독산동,1386
돈암동,112
돈의동,26
동빙고동,55
동선동1가,23
동선동2가,22
동선동3가,28
동선동4가,34
동선동5가,25
동소문동1가,13
동소문동2가,14
동소문동3가,5
동소문동4가,13
동소문동6가,17
동소문동7가,5
동숭동,35
동자동,42
동작동,14
동천동,14
둔촌동,221
등촌동,194
마곡동,27
마장동,276
마천동,283
만리동1가,27
만리동2가,44
망우동,525
매산동,2
매탄동,4
면목동,1457
명동1가,9
명동2가,9
명륜1가,55
명륜2가,11
명륜3가,62
명륜4가,12
명일동,203
목동,2348
묘동,3
무교동,4
무악동,29
무학동,12
묵동,397
묵정동,15
문래동1가,41
문래동2가,44
문래동3가,66
문래동4가,51
문래동5가,26
문래동6가,39
문정동,240
문형동,1
미근동,2
미아동,994
반포동,293
방배동,702
방이동,263
방화동,305
번동,397
보광동,209
보문동1가,9
보문동2가,13
보문동3가,12
보문동4가,11
보문동5가,6
보문동6가,43
보문동7가,24
본동,37
봉래동2가,12
봉원동,13
봉익동,6
부암동,69
북가좌동,411
북아현동,249
북창동,19
불광동,473
사간동,3
사근동,133
사당동,495
사직동,26
산림동,11
산천동,9
삼각동,2
삼선동1가,98
삼선동2가,40
삼선동3가,18
삼선동4가,13
삼선동5가,13
삼성동,600
삼전동,189
삼청동,18
상계동,614
상도1동,52
상도동,478
상봉동,376
상왕십리동,5
상월곡동,105
상일동,205
서계동,111
서린동,4
서빙고동,47
서소문동,9
서초동,454
석관동,339
석촌동,162
성내동,556
성북동,201
성북동1가,9
성수동1가,296
성수동2가,395
세곡동,66
세종로,11
소격동,3
소공동,4
소하동,3
송월동,14
송정동,221
송파동,215
송현동,3
수색동,95
수서동,80
수송동,2
수유동,909
수표동,6
순화동,24
숭인동,171
시흥동,1281
신계동,9
신교동,16
신길동,1100
신내동,192
신당동,723
신대방동,206
신도림동,106
신문로1가,6
신문로2가,8
신사동,800
신설동,50
신영동,23
신원동,38
신월동,2707
신정동,2321
신창동,43
신천동,93
신촌동,12
쌍림동,8
아현동,5
안국동,5
안암동1가,24
안암동2가,22
안암동3가,25
안암동4가,20
안암동5가,65
암사동,482
압구정동,65
양재동,308
양평동,8
양평동1가,53
양평동2가,47
양평동3가,71
양평동4가,63
양평동5가,45
양평동6가,24
양화동,7
여의도동,95
역삼동,764
역촌동,289
연건동,18
연무동,8
연지동,7
연희동,500
염곡동,15
염창동,78
영등포동,155
영등포동1가,8
영등포동2가,64
영등포동3가,50
영등포동4가,34
영등포동5가,36
영등포동6가,20
영등포동7가,30
영등포동8가,24
영천동,4
영화동,12
예관동,13
예장동,25
예지동,4
오금동,213
오류동,329
오장동,11
옥수동,123
옥인동,36
옥천동,8
온수동,104
와룡동,9
외발산동,3
용답동,196
용두동,228
용문동,64
용산동1가,7
용산동2가,212
용산동3가,8
용산동5가,15
용산동6가,14
우만동,2
우면동,79
우이동,155
운니동,1
원남동,3
원서동,25
원지동,8
원효로1가,58
원효로2가,30
원효로3가,35
원효로4가,23
월계동,242
율현동,62
을지로1가,12
을지로2가,9
을지로3가,17
을지로4가,8
을지로5가,8
을지로6가,25
을지로7가,11
응봉동,125
응암동,550
의주로1가,2
의주로2가,14
이문동,304
이의동,13
이촌동,155
이태원동,309
이화동,20
익선동,10
인사동,7
인의동,5
인현동1가,5
인현동2가,6
일원동,291
입정동,3
자곡동,51
자양동,176
잠실동,293
잠원동,131
장교동,2
장사동,6
장안동,422
장위동,635
장지동,165
장충동1가,41
장충동2가,94
저동1가,26
저동2가,1
전농동,373
정남면 덕절리,3
정동,26
정릉동,676
제기동,235
조원동,12
종로1가,3
종로2가,9
종로3가,9
종로4가,2
종로5가,5
종로6가,26
종암동,201
주교동,14
주성동,11
주자동,7
중계동,141
중곡동,178
중림동,51
중화동,412
증산동,168
지축동,1
진관동,301
창동,2
창성동,2
창신동,163
창천동,178
천연동,42
천왕동,35
천호동,830
철산동,2
청담동,357
청량리동,149
청암동,3
청운동,36
청진동,2
청파동1가,65
청파동2가,62
청파동3가,54
체부동,12
초동,13
충무로1가,13
충무로2가,5
충무로3가,3
충무로4가,15
충무로5가,23
충신동,38
충정로1가,2
충정로2가,11
충정로3가,71
태평로1가,8
태평로2가,2
통의동,9
통인동,6
평동,3
평창동,68
포곡읍 신원리,3
풍납동,209
필동1가,3
필동2가,36
필동3가,35
필운동,10
하계동,67
하광교동,8
하동,3
하안동,3
하왕십리동,208
하월곡동,235
학암동,4
한강로1가,19
한강로2가,63
한강로3가,97
한남동,228
항동,39
행당동,335
행촌동,51
현저동,54
혜화동,43
홍은동,573
홍익동,69
홍제동,459
홍지동,18
홍파동,13
화곡동,1282
화동,3
화양동,53
황학동,89
회기동,122
회현동1가,75
회현동2가,13
회현동3가,2
효제동,13
효창동,88
후암동,230
훈정동,17
휘경동,284
흑석동,127
흥인동,26
