마트_y,편의점,편의시설,dong_id
0,1,1,1
0,0,0,2
0,0,0,3
0,0,0,4
0,2,2,5
0,0,0,6
0,0,0,7
0,0,0,8
0,0,0,9
0,0,0,10
0,0,0,11
0,2,2,12
0,1,1,13
0,0,0,14
0,1,1,15
0,2,2,16
0,0,0,17
0,3,3,18
0,0,0,19
0,3,3,20
0,0,0,21
0,4,4,22
0,1,1,23
0,2,2,24
0,0,0,25
1,0,1,26
0,2,2,27
0,0,0,28
0,0,0,29
0,1,1,30
0,0,0,31
0,0,0,32
0,2,2,33
0,0,0,34
0,4,4,35
0,0,0,36
2,3,5,37
0,1,1,38
0,0,0,39
0,0,0,40
0,0,0,41
0,0,0,42
0,0,0,43
0,1,1,44
0,0,0,45
0,0,0,46
0,2,2,47
0,2,2,48
0,0,0,49
0,0,0,50
0,2,2,51
0,0,0,52
0,0,0,53
0,0,0,54
0,3,3,55
0,0,0,56
2,0,2,57
1,1,2,58
0,0,0,59
0,0,0,60
0,0,0,61
0,0,0,62
0,2,2,63
3,0,3,64
0,1,1,65
0,0,0,66
0,1,1,67
0,4,4,68
0,3,3,69
0,2,2,70
0,2,2,71
0,2,2,72
0,1,1,73
2,8,10,74
3,11,14,75
0,2,2,76
0,2,2,77
0,0,0,78
0,0,0,79
0,0,0,80
0,0,0,81
0,2,2,82
0,2,2,83
0,1,1,84
0,3,3,85
0,0,0,86
1,2,3,87
0,2,2,88
0,2,2,89
0,1,1,90
0,2,2,91
0,5,5,92
0,1,1,93
0,0,0,94
0,3,3,95
1,2,3,96
0,1,1,97
2,3,5,98
4,2,6,99
0,4,4,100
0,3,3,101
1,0,1,102
0,0,0,103
0,1,1,104
0,6,6,105
0,1,1,106
3,0,3,107
1,6,7,108
0,1,1,109
0,1,1,110
1,6,7,111
2,7,9,112
0,1,1,113
2,4,6,114
0,1,1,115
0,1,1,116
0,1,1,117
0,1,1,118
1,3,4,119
0,3,3,120
0,1,1,121
0,1,1,122
0,1,1,123
0,1,1,124
0,1,1,125
0,2,2,126
0,0,0,127
0,0,0,128
0,0,0,129
0,2,2,130
0,4,4,131
0,2,2,132
0,2,2,133
0,2,2,134
9,7,16,135
1,1,2,136
1,2,3,137
0,3,3,138
0,1,1,139
1,0,1,140
1,3,4,141
0,2,2,142
0,2,2,143
1,0,1,144
0,3,3,145
0,4,4,146
0,2,2,147
0,2,2,148
19,39,58,149
0,2,2,150
0,3,3,151
3,7,10,152
0,4,4,153
0,2,2,154
0,8,8,155
0,0,0,156
0,2,2,157
0,5,5,158
0,0,0,159
0,1,1,160
1,2,3,161
0,8,8,162
0,10,10,163
0,1,1,164
0,5,5,165
0,1,1,166
0,0,0,167
0,7,7,168
1,2,3,169
0,1,1,170
0,2,2,171
0,5,5,172
1,3,4,173
0,4,4,174
0,1,1,175
0,3,3,176
0,1,1,177
0,3,3,178
0,0,0,179
0,4,4,180
0,1,1,181
0,3,3,182
0,3,3,183
0,0,0,184
0,3,3,185
3,6,9,186
0,0,0,187
0,1,1,188
3,9,12,189
1,7,8,190
2,16,18,191
1,8,9,192
0,2,2,193
0,2,2,194
0,0,0,195
2,1,3,196
1,6,7,197
1,3,4,198
2,14,16,199
0,2,2,200
1,4,5,201
1,8,9,202
0,7,7,203
6,27,33,204
0,3,3,205
1,3,4,206
0,3,3,207
2,3,5,208
0,6,6,209
1,6,7,210
1,24,25,211
2,41,43,212
0,5,5,213
0,8,8,214
6,50,56,215
0,14,14,216
9,52,61,217
1,14,15,218
7,59,66,219
2,32,34,220
1,13,14,221
1,10,11,222
3,23,26,223
2,16,18,224
5,31,36,225
2,26,28,226
6,47,53,227
1,10,11,228
2,11,13,229
1,25,26,230
4,20,24,231
4,83,87,232
3,34,37,233
2,31,33,234
1,20,21,235
3,39,42,236
4,23,27,237
0,7,7,238
0,1,1,239
4,4,8,240
0,1,1,241
0,1,1,242
0,0,0,243
0,1,1,244
1,2,3,245
0,3,3,246
0,0,0,247
1,0,1,248
0,4,4,249
0,0,0,250
0,1,1,251
0,3,3,252
1,1,2,253
0,1,1,254
0,2,2,255
0,2,2,256
0,2,2,257
0,2,2,258
0,2,2,259
0,1,1,260
0,1,1,261
0,15,15,262
1,1,2,263
0,2,2,264
1,1,2,265
1,3,4,266
0,2,2,267
0,2,2,268
0,0,0,269
2,37,39,270
8,16,24,271
1,17,18,272
5,17,22,273
0,6,6,274
3,27,30,275
2,13,15,276
11,55,66,277
2,24,26,278
8,55,63,279
0,10,10,280
2,41,43,281
4,47,51,282
7,51,58,283
2,27,29,284
2,28,30,285
4,48,52,286
1,11,12,287
7,85,92,288
6,27,33,289
1,5,6,290
0,17,17,291
7,18,25,292
1,27,28,293
1,11,12,294
2,16,18,295
3,22,25,296
2,11,13,297
6,73,79,298
0,5,5,299
1,13,14,300
0,2,2,301
0,4,4,302
0,1,1,303
0,3,3,304
0,1,1,305
0,1,1,306
0,0,0,307
0,1,1,308
0,1,1,309
0,13,13,310
3,30,33,311
1,26,27,312
0,5,5,313
1,5,6,314
0,0,0,315
2,21,23,316
1,29,30,317
2,27,29,318
2,22,24,319
6,24,30,320
0,6,6,321
3,8,11,322
2,3,5,323
1,10,11,324
1,7,8,325
0,0,0,326
0,4,4,327
1,5,6,328
1,9,10,329
1,7,8,330
2,10,12,331
0,2,2,332
1,0,1,333
1,4,5,334
0,8,8,335
0,1,1,336
6,70,76,337
0,1,1,338
3,36,39,339
1,15,16,340
