마트_y,편의점,편의시설,dong_id,편의시설_점수
0,1,1,1,1
0,0,0,2,1
0,0,0,3,1
0,0,0,4,1
0,2,2,5,1
0,0,0,6,1
0,0,0,7,1
0,0,0,8,1
0,0,0,9,1
0,0,0,10,1
0,0,0,11,1
0,2,2,12,1
0,1,1,13,1
0,0,0,14,1
0,1,1,15,1
0,2,2,16,1
0,0,0,17,1
0,3,3,18,2
0,0,0,19,1
0,3,3,20,2
0,0,0,21,1
0,4,4,22,2
0,1,1,23,1
0,2,2,24,1
0,0,0,25,1
1,0,1,26,1
0,2,2,27,1
0,0,0,28,1
0,0,0,29,1
0,1,1,30,1
0,0,0,31,1
0,0,0,32,1
0,2,2,33,1
0,0,0,34,1
0,4,4,35,2
0,0,0,36,1
2,3,5,37,2
0,1,1,38,1
0,0,0,39,1
0,0,0,40,1
0,0,0,41,1
0,0,0,42,1
0,0,0,43,1
0,1,1,44,1
0,0,0,45,1
0,0,0,46,1
0,2,2,47,1
0,2,2,48,1
0,0,0,49,1
0,0,0,50,1
0,2,2,51,1
0,0,0,52,1
0,0,0,53,1
0,0,0,54,1
0,3,3,55,2
0,0,0,56,1
2,0,2,57,1
1,1,2,58,1
0,0,0,59,1
0,0,0,60,1
0,0,0,61,1
0,0,0,62,1
0,2,2,63,1
3,0,3,64,2
0,1,1,65,1
0,0,0,66,1
0,1,1,67,1
0,4,4,68,2
0,3,3,69,2
0,2,2,70,1
0,2,2,71,1
0,2,2,72,1
0,1,1,73,1
2,8,10,74,2
3,11,14,75,3
0,2,2,76,1
0,2,2,77,1
0,0,0,78,1
0,0,0,79,1
0,0,0,80,1
0,0,0,81,1
0,2,2,82,1
0,2,2,83,1
0,1,1,84,1
0,3,3,85,2
0,0,0,86,1
1,2,3,87,2
0,2,2,88,1
0,2,2,89,1
0,1,1,90,1
0,2,2,91,1
0,5,5,92,2
0,1,1,93,1
0,0,0,94,1
0,3,3,95,2
1,2,3,96,2
0,1,1,97,1
2,3,5,98,2
4,2,6,99,2
0,4,4,100,2
0,3,3,101,2
1,0,1,102,1
0,0,0,103,1
0,1,1,104,1
0,6,6,105,2
0,1,1,106,1
3,0,3,107,2
1,6,7,108,2
0,1,1,109,1
0,1,1,110,1
1,6,7,111,2
2,7,9,112,2
0,1,1,113,1
2,4,6,114,2
0,1,1,115,1
0,1,1,116,1
0,1,1,117,1
0,1,1,118,1
1,3,4,119,2
0,3,3,120,2
0,1,1,121,1
0,1,1,122,1
0,1,1,123,1
0,1,1,124,1
0,1,1,125,1
0,2,2,126,1
0,0,0,127,1
0,0,0,128,1
0,0,0,129,1
0,2,2,130,1
0,4,4,131,2
0,2,2,132,1
0,2,2,133,1
0,2,2,134,1
9,7,16,135,3
1,1,2,136,1
1,2,3,137,2
0,3,3,138,2
0,1,1,139,1
1,0,1,140,1
1,3,4,141,2
0,2,2,142,1
0,2,2,143,1
1,0,1,144,1
0,3,3,145,2
0,4,4,146,2
0,2,2,147,1
0,2,2,148,1
19,39,58,149,3
0,2,2,150,1
0,3,3,151,2
3,7,10,152,2
0,4,4,153,2
0,2,2,154,1
0,8,8,155,2
0,0,0,156,1
0,2,2,157,1
0,5,5,158,2
0,0,0,159,1
0,1,1,160,1
1,2,3,161,2
0,8,8,162,2
0,10,10,163,2
0,1,1,164,1
0,5,5,165,2
