모든병원,약국,보건,dong_id
0,0,0,1
1,0,1,2
0,0,0,3
0,0,0,4
3,1,4,5
1,0,1,6
9,3,12,7
0,1,1,8
0,0,0,9
2,1,3,10
1,2,3,11
2,0,2,12
0,0,0,13
7,4,11,14
0,1,1,15
2,0,2,16
11,2,13,17
6,0,6,18
4,1,5,19
18,3,21,20
2,0,2,21
13,5,18,22
4,1,5,23
6,2,8,24
0,0,0,25
14,5,19,26
2,0,2,27
0,1,1,28
5,1,6,29
3,0,3,30
0,0,0,31
0,0,0,32
0,0,0,33
6,2,8,34
9,3,12,35
3,0,3,36
4,2,6,37
13,4,17,38
0,0,0,39
0,0,0,40
5,1,6,41
2,1,3,42
0,0,0,43
0,0,0,44
0,0,0,45
1,0,1,46
2,0,2,47
2,1,3,48
0,0,0,49
0,0,0,50
2,2,4,51
0,1,1,52
1,1,2,53
0,0,0,54
3,0,3,55
15,6,21,56
4,0,4,57
0,0,0,58
0,5,5,59
2,0,2,60
9,12,21,61
6,0,6,62
31,27,58,63
20,5,25,64
0,0,0,65
3,9,12,66
1,1,2,67
6,2,8,68
11,4,15,69
5,1,6,70
6,1,7,71
2,8,10,72
1,0,1,73
36,11,47,74
15,7,22,75
1,2,3,76
6,10,16,77
0,0,0,78
2,2,4,79
2,1,3,80
1,0,1,81
3,2,5,82
6,3,9,83
2,0,2,84
1,0,1,85
1,1,2,86
4,5,9,87
14,4,18,88
5,2,7,89
4,0,4,90
4,1,5,91
18,5,23,92
0,0,0,93
3,1,4,94
2,0,2,95
2,1,3,96
2,1,3,97
3,2,5,98
13,6,19,99
1,1,2,100
4,2,6,101
2,1,3,102
2,3,5,103
4,1,5,104
18,6,24,105
5,0,5,106
0,1,1,107
12,2,14,108
1,0,1,109
2,0,2,110
13,3,16,111
12,4,16,112
11,4,15,113
15,3,18,114
5,1,6,115
0,0,0,116
2,0,2,117
2,0,2,118
6,2,8,119
2,1,3,120
1,1,2,121
0,0,0,122
3,1,4,123
2,1,3,124
4,2,6,125
1,1,2,126
0,0,0,127
0,0,0,128
0,0,0,129
1,1,2,130
2,0,2,131
0,1,1,132
3,1,4,133
5,1,6,134
12,7,19,135
1,0,1,136
14,4,18,137
3,0,3,138
2,0,2,139
1,0,1,140
0,3,3,141
4,1,5,142
0,0,0,143
0,0,0,144
5,0,5,145
5,2,7,146
0,0,0,147
6,6,12,148
110,37,147,149
5,4,9,150
5,2,7,151
17,10,27,152
18,4,22,153
0,0,0,154
8,1,9,155
2,0,2,156
1,0,1,157
13,6,19,158
0,0,0,159
0,0,0,160
4,2,6,161
14,5,19,162
6,2,8,163
0,0,0,164
26,4,30,165
8,2,10,166
0,0,0,167
4,2,6,168
9,2,11,169
1,2,3,170
2,2,4,171
4,2,6,172
9,0,9,173
10,2,12,174
0,0,0,175
4,1,5,176
0,0,0,177
1,0,1,178
1,0,1,179
7,5,12,180
3,0,3,181
11,0,11,182
0,1,1,183
0,0,0,184
7,1,8,185
37,3,40,186
1,1,2,187
2,0,2,188
17,10,27,189
36,4,40,190
24,2,26,191
25,6,31,192
0,0,0,193
0,0,0,194
0,0,0,195
1,1,2,196
20,6,26,197
7,1,8,198
36,12,48,199
5,2,7,200
28,6,34,201
21,6,27,202
0,1,1,203
61,21,82,204
7,2,9,205
13,6,19,206
9,4,13,207
18,10,28,208
21,7,28,209
34,8,42,210
29,7,36,211
46,18,64,212
4,3,7,213
23,8,31,214
118,41,159,215
18,4,22,216
104,33,137,217
25,7,32,218
127,42,169,219
54,15,69,220
34,9,43,221
14,4,18,222
48,20,68,223
81,72,153,224
39,25,64,225
54,24,78,226
61,48,109,227
56,20,76,228
10,16,26,229
18,20,38,230
23,21,44,231
99,44,143,232
49,18,67,233
34,13,47,234
41,16,57,235
42,24,66,236
26,24,50,237
6,0,6,238
6,1,7,239
16,7,23,240
8,3,11,241
10,5,15,242
