모든병원,약국,보건,dong_id,보건_점수
0,0,0,1,1
1,0,1,2,1
0,0,0,3,1
0,0,0,4,1
3,1,4,5,1
1,0,1,6,1
9,3,12,7,2
0,1,1,8,1
0,0,0,9,1
2,1,3,10,1
1,2,3,11,1
2,0,2,12,1
0,0,0,13,1
7,4,11,14,2
0,1,1,15,1
2,0,2,16,1
11,2,13,17,2
6,0,6,18,2
4,1,5,19,1
18,3,21,20,2
2,0,2,21,1
13,5,18,22,2
4,1,5,23,1
6,2,8,24,2
0,0,0,25,1
14,5,19,26,2
2,0,2,27,1
0,1,1,28,1
5,1,6,29,2
3,0,3,30,1
0,0,0,31,1
0,0,0,32,1
0,0,0,33,1
6,2,8,34,2
9,3,12,35,2
3,0,3,36,1
4,2,6,37,2
13,4,17,38,2
0,0,0,39,1
0,0,0,40,1
5,1,6,41,2
2,1,3,42,1
0,0,0,43,1
0,0,0,44,1
0,0,0,45,1
1,0,1,46,1
2,0,2,47,1
2,1,3,48,1
0,0,0,49,1
0,0,0,50,1
2,2,4,51,1
0,1,1,52,1
1,1,2,53,1
0,0,0,54,1
3,0,3,55,1
15,6,21,56,2
4,0,4,57,1
0,0,0,58,1
0,5,5,59,1
2,0,2,60,1
9,12,21,61,2
6,0,6,62,2
31,27,58,63,3
20,5,25,64,2
0,0,0,65,1
3,9,12,66,2
1,1,2,67,1
6,2,8,68,2
11,4,15,69,2
5,1,6,70,2
6,1,7,71,2
2,8,10,72,2
1,0,1,73,1
36,11,47,74,3
15,7,22,75,2
1,2,3,76,1
6,10,16,77,2
0,0,0,78,1
2,2,4,79,1
2,1,3,80,1
1,0,1,81,1
3,2,5,82,1
6,3,9,83,2
2,0,2,84,1
1,0,1,85,1
1,1,2,86,1
4,5,9,87,2
14,4,18,88,2
5,2,7,89,2
4,0,4,90,1
4,1,5,91,1
18,5,23,92,2
0,0,0,93,1
3,1,4,94,1
2,0,2,95,1
2,1,3,96,1
2,1,3,97,1
3,2,5,98,1
13,6,19,99,2
1,1,2,100,1
4,2,6,101,2
2,1,3,102,1
2,3,5,103,1
4,1,5,104,1
18,6,24,105,2
5,0,5,106,1
0,1,1,107,1
12,2,14,108,2
1,0,1,109,1
2,0,2,110,1
13,3,16,111,2
12,4,16,112,2
11,4,15,113,2
15,3,18,114,2
5,1,6,115,2
0,0,0,116,1
2,0,2,117,1
2,0,2,118,1
6,2,8,119,2
2,1,3,120,1
1,1,2,121,1
0,0,0,122,1
3,1,4,123,1
2,1,3,124,1
4,2,6,125,2
1,1,2,126,1
0,0,0,127,1
0,0,0,128,1
0,0,0,129,1
1,1,2,130,1
2,0,2,131,1
0,1,1,132,1
3,1,4,133,1
5,1,6,134,2
12,7,19,135,2
1,0,1,136,1
14,4,18,137,2
3,0,3,138,1
2,0,2,139,1
1,0,1,140,1
0,3,3,141,1
4,1,5,142,1
0,0,0,143,1
0,0,0,144,1
5,0,5,145,1
5,2,7,146,2
0,0,0,147,1
6,6,12,148,2
110,37,147,149,3
5,4,9,150,2
5,2,7,151,2
17,10,27,152,2
18,4,22,153,2
0,0,0,154,1
8,1,9,155,2
2,0,2,156,1
1,0,1,157,1
13,6,19,158,2
0,0,0,159,1
0,0,0,160,1
4,2,6,161,2
14,5,19,162,2
6,2,8,163,2
0,0,0,164,1
26,4,30,165,3
8,2,10,166,2
0,0,0,167,1
4,2,6,168,2
9,2,11,169,2
1,2,3,170,1
2,2,4,171,1
4,2,6,172,2
9,0,9,173,2
10,2,12,174,2
0,0,0,175,1
4,1,5,176,1
0,0,0,177,1
1,0,1,178,1
1,0,1,179,1
7,5,12,180,2
3,0,3,181,1
11,0,11,182,2
0,1,1,183,1
0,0,0,184,1
7,1,8,185,2
37,3,40,186,3
1,1,2,187,1
2,0,2,188,1
17,10,27,189,2
36,4,40,190,3
24,2,26,191,2
25,6,31,192,3
0,0,0,193,1
0,0,0,194,1
0,0,0,195,1
1,1,2,196,1
20,6,26,197,2
7,1,8,198,2
36,12,48,199,3
5,2,7,200,2
28,6,34,201,3
21,6,27,202,2
0,1,1,203,1
61,21,82,204,3
7,2,9,205,2
13,6,19,206,2
9,4,13,207,2
18,10,28,208,3
21,7,28,209,3
34,8,42,210,3
29,7,36,211,3
46,18,64,212,3
4,3,7,213,2
23,8,31,214,3
118,41,159,215,3
18,4,22,216,2
104,33,137,217,3
25,7,32,218,3
127,42,169,219,3
54,15,69,220,3
34,9,43,221,3
14,4,18,222,2
48,20,68,223,3
81,72,153,224,3
39,25,64,225,3
54,24,78,226,3
61,48,109,227,3
56,20,76,228,3
10,16,26,229,2
18,20,38,230,3
23,21,44,231,3
99,44,143,232,3
49,18,67,233,3
34,13,47,234,3
41,16,57,235,3
42,24,66,236,3
26,24,50,237,3
6,0,6,238,2
6,1,7,239,2
16,7,23,240,2
8,3,11,241,2
10,5,15,242,2
8,3,11,243,2
3,2,5,244,1
6,2,8,245,2
23,5,28,246,3
1,1,2,247,1
3,2,5,248,1
1,0,1,249,1
0,0,0,250,1
3,3,6,251,2
6,1,7,252,2
14,6,20,253,2
0,0,0,254,1
0,0,0,255,1
15,3,18,256,2
2,0,2,257,1
0,0,0,258,1
2,1,3,259,1
0,0,0,260,1
1,0,1,261,1
10,10,20,262,2
3,1,4,263,1
5,3,8,264,2
0,0,0,265,1
1,1,2,266,1
3,0,3,267,1
4,1,5,268,1
0,0,0,269,1
40,27,67,270,3
35,21,56,271,3
37,19,56,272,3
37,25,62,273,3
5,1,6,274,2
24,23,47,275,3
34,17,51,276,3
210,58,268,277,3
70,18,88,278,3
129,34,163,279,3
7,8,15,280,2
50,18,68,281,3
50,16,66,282,3
78,33,111,283,3
25,10,35,284,3
66,25,91,285,3
99,40,139,286,3
23,15,38,287,3
371,99,470,288,3
131,40,171,289,3
9,5,14,290,2
25,8,33,291,3
78,17,95,292,3
46,15,61,293,3
24,7,31,294,3
91,20,111,295,3
95,30,125,296,3
38,16,54,297,3
711,94,805,298,3
19,9,28,299,3
54,22,76,300,3
9,2,11,301,2
5,1,6,302,2
0,0,0,303,1
4,2,6,304,2
5,2,7,305,2
1,0,1,306,1
5,1,6,307,2
11,3,14,308,2
1,0,1,309,1
17,9,26,310,2
54,30,84,311,3
