헬스시설2,영화상영관,여가,dong_id
0,0,0,1
0,0,0,2
0,0,0,3
0,0,0,4
1,0,1,5
1,0,1,6
1,0,1,7
0,0,0,8
0,0,0,9
0,0,0,10
0,0,0,11
0,0,0,12
0,0,0,13
3,0,3,14
2,0,2,15
0,0,0,16
1,0,1,17
9,0,9,18
1,0,1,19
2,2,4,20
3,2,5,21
0,0,0,22
1,0,1,23
0,0,0,24
0,0,0,25
3,0,3,26
1,0,1,27
0,0,0,28
1,0,1,29
0,0,0,30
0,0,0,31
0,0,0,32
0,0,0,33
0,0,0,34
2,0,2,35
0,0,0,36
1,2,3,37
0,0,0,38
0,0,0,39
1,0,1,40
0,0,0,41
1,0,1,42
0,0,0,43
0,0,0,44
0,0,0,45
0,0,0,46
0,0,0,47
0,0,0,48
1,0,1,49
0,0,0,50
0,0,0,51
0,0,0,52
0,6,6,53
0,0,0,54
0,0,0,55
1,0,1,56
0,0,0,57
0,0,0,58
2,0,2,59
0,0,0,60
0,0,0,61
0,0,0,62
0,0,0,63
0,0,0,64
1,0,1,65
2,0,2,66
0,0,0,67
0,0,0,68
3,0,3,69
1,0,1,70
2,8,10,71
1,0,1,72
0,0,0,73
4,0,4,74
6,0,6,75
2,0,2,76
0,0,0,77
0,0,0,78
0,0,0,79
0,0,0,80
0,0,0,81
1,0,1,82
4,0,4,83
1,0,1,84
0,0,0,85
2,0,2,86
1,0,1,87
2,0,2,88
3,0,3,89
3,0,3,90
0,0,0,91
1,0,1,92
0,0,0,93
0,0,0,94
1,0,1,95
3,0,3,96
1,0,1,97
0,0,0,98
0,0,0,99
0,0,0,100
1,0,1,101
0,5,5,102
1,0,1,103
1,0,1,104
2,0,2,105
1,0,1,106
0,1,1,107
1,0,1,108
1,0,1,109
0,0,0,110
1,6,7,111
1,8,9,112
1,0,1,113
0,4,4,114
0,0,0,115
0,0,0,116
0,0,0,117
1,0,1,118
0,9,9,119
0,0,0,120
0,0,0,121
0,0,0,122
0,0,0,123
0,0,0,124
0,3,3,125
1,0,1,126
0,0,0,127
0,0,0,128
1,0,1,129
0,0,0,130
0,1,1,131
0,0,0,132
0,0,0,133
1,0,1,134
1,14,15,135
0,0,0,136
1,0,1,137
0,0,0,138
0,0,0,139
0,0,0,140
1,0,1,141
0,0,0,142
0,0,0,143
0,0,0,144
2,0,2,145
1,3,4,146
0,0,0,147
0,0,0,148
23,0,23,149
3,0,3,150
0,0,0,151
6,0,6,152
2,0,2,153
2,1,3,154
2,0,2,155
0,0,0,156
0,1,1,157
1,0,1,158
0,0,0,159
1,0,1,160
0,0,0,161
2,0,2,162
1,0,1,163
0,0,0,164
4,0,4,165
4,0,4,166
0,0,0,167
1,0,1,168
1,0,1,169
1,0,1,170
0,0,0,171
2,0,2,172
5,0,5,173
0,0,0,174
0,0,0,175
0,0,0,176
0,0,0,177
0,0,0,178
1,0,1,179
1,0,1,180
0,0,0,181
0,0,0,182
1,0,1,183
0,0,0,184
0,0,0,185
1,0,1,186
0,0,0,187
1,0,1,188
7,28,35,189
7,0,7,190
7,0,7,191
26,0,26,192
2,0,2,193
1,0,1,194
0,0,0,195
0,0,0,196
2,0,2,197
1,0,1,198
12,0,12,199
2,0,2,200
9,0,9,201
2,0,2,202
0,0,0,203
13,10,23,204
0,0,0,205
4,0,4,206
3,0,3,207
1,0,1,208
3,0,3,209
