헬스시설2,영화상영관,여가,dong_id,여가_점수
0,0,0,1,1
0,0,0,2,1
0,0,0,3,1
0,0,0,4,1
1,0,1,5,1
1,0,1,6,1
1,0,1,7,1
0,0,0,8,1
0,0,0,9,1
0,0,0,10,1
0,0,0,11,1
0,0,0,12,1
0,0,0,13,1
3,0,3,14,2
2,0,2,15,2
0,0,0,16,1
1,0,1,17,1
9,0,9,18,3
1,0,1,19,1
2,2,4,20,2
3,2,5,21,2
0,0,0,22,1
1,0,1,23,1
0,0,0,24,1
0,0,0,25,1
3,0,3,26,2
1,0,1,27,1
0,0,0,28,1
1,0,1,29,1
0,0,0,30,1
0,0,0,31,1
0,0,0,32,1
0,0,0,33,1
0,0,0,34,1
2,0,2,35,2
0,0,0,36,1
1,2,3,37,2
0,0,0,38,1
0,0,0,39,1
1,0,1,40,1
0,0,0,41,1
1,0,1,42,1
0,0,0,43,1
0,0,0,44,1
0,0,0,45,1
0,0,0,46,1
0,0,0,47,1
0,0,0,48,1
1,0,1,49,1
0,0,0,50,1
0,0,0,51,1
0,0,0,52,1
0,6,6,53,2
0,0,0,54,1
0,0,0,55,1
1,0,1,56,1
0,0,0,57,1
0,0,0,58,1
2,0,2,59,2
0,0,0,60,1
0,0,0,61,1
0,0,0,62,1
0,0,0,63,1
0,0,0,64,1
1,0,1,65,1
2,0,2,66,2
0,0,0,67,1
0,0,0,68,1
3,0,3,69,2
1,0,1,70,1
2,8,10,71,3
1,0,1,72,1
0,0,0,73,1
4,0,4,74,2
6,0,6,75,2
2,0,2,76,2
0,0,0,77,1
0,0,0,78,1
0,0,0,79,1
0,0,0,80,1
0,0,0,81,1
1,0,1,82,1
4,0,4,83,2
1,0,1,84,1
0,0,0,85,1
2,0,2,86,2
1,0,1,87,1
2,0,2,88,2
3,0,3,89,2
3,0,3,90,2
0,0,0,91,1
1,0,1,92,1
0,0,0,93,1
0,0,0,94,1
1,0,1,95,1
3,0,3,96,2
1,0,1,97,1
0,0,0,98,1
0,0,0,99,1
0,0,0,100,1
1,0,1,101,1
0,5,5,102,2
1,0,1,103,1
1,0,1,104,1
2,0,2,105,2
1,0,1,106,1
0,1,1,107,1
1,0,1,108,1
1,0,1,109,1
0,0,0,110,1
1,6,7,111,3
1,8,9,112,3
1,0,1,113,1
0,4,4,114,2
0,0,0,115,1
0,0,0,116,1
0,0,0,117,1
1,0,1,118,1
0,9,9,119,3
0,0,0,120,1
0,0,0,121,1
0,0,0,122,1
0,0,0,123,1
0,0,0,124,1
0,3,3,125,2
1,0,1,126,1
0,0,0,127,1
0,0,0,128,1
1,0,1,129,1
0,0,0,130,1
0,1,1,131,1
0,0,0,132,1
0,0,0,133,1
1,0,1,134,1
1,14,15,135,3
0,0,0,136,1
1,0,1,137,1
0,0,0,138,1
0,0,0,139,1
0,0,0,140,1
1,0,1,141,1
0,0,0,142,1
0,0,0,143,1
0,0,0,144,1
2,0,2,145,2
1,3,4,146,2
0,0,0,147,1
0,0,0,148,1
23,0,23,149,3
3,0,3,150,2
0,0,0,151,1
6,0,6,152,2
2,0,2,153,2
2,1,3,154,2
2,0,2,155,2
0,0,0,156,1
0,1,1,157,1
1,0,1,158,1
0,0,0,159,1
1,0,1,160,1
0,0,0,161,1
2,0,2,162,2
1,0,1,163,1
0,0,0,164,1
4,0,4,165,2
4,0,4,166,2
0,0,0,167,1
1,0,1,168,1
1,0,1,169,1
1,0,1,170,1
0,0,0,171,1
2,0,2,172,2
5,0,5,173,2
0,0,0,174,1
0,0,0,175,1
0,0,0,176,1
0,0,0,177,1
0,0,0,178,1
1,0,1,179,1
1,0,1,180,1
0,0,0,181,1
0,0,0,182,1
1,0,1,183,1
0,0,0,184,1
0,0,0,185,1
1,0,1,186,1
0,0,0,187,1
1,0,1,188,1
7,28,35,189,3
7,0,7,190,3
7,0,7,191,3
26,0,26,192,3
2,0,2,193,2
1,0,1,194,1
0,0,0,195,1
0,0,0,196,1
2,0,2,197,2
1,0,1,198,1
12,0,12,199,3
2,0,2,200,2
9,0,9,201,3
2,0,2,202,2
0,0,0,203,1
13,10,23,204,3
0,0,0,205,1
4,0,4,206,2
3,0,3,207,2
1,0,1,208,1
3,0,3,209,2
