경찰서,119안전센터,치안센터,CCTV수,치안,dong_id
0,0,0,36,36,1
0,1,0,16,17,2
1,0,0,1,2,3
0,0,0,0,0,4
0,0,0,2,2,5
1,0,0,9,10,6
0,0,0,0,0,7
0,0,0,6,6,8
0,0,0,25,25,9
0,0,0,17,17,10
1,0,0,36,37,11
0,0,0,12,12,12
0,0,0,10,10,13
0,0,0,4,4,14
1,0,0,26,27,15
0,0,0,0,0,16
0,0,0,3,3,17
0,0,0,0,0,18
0,0,0,11,11,19
1,0,0,6,7,20
0,0,0,8,8,21
0,0,0,2,2,22
0,0,0,4,4,23
1,0,0,2,3,24
0,0,0,0,0,25
0,0,0,3,3,26
0,0,0,3,3,27
0,0,0,3,3,28
0,0,0,0,0,29
0,0,0,9,9,30
0,0,0,3,3,31
0,1,0,1,2,32
0,0,0,10,10,33
0,0,0,0,0,34
1,0,0,9,10,35
0,0,0,7,7,36
0,0,0,10,10,37
1,0,0,9,10,38
0,0,0,0,0,39
0,0,0,18,18,40
0,0,0,5,5,41
1,0,0,3,4,42
0,0,0,3,3,43
0,0,0,3,3,44
0,0,0,3,3,45
0,0,0,9,9,46
0,0,0,0,0,47
0,0,0,6,6,48
0,0,0,25,25,49
0,0,0,17,17,50
0,1,1,3,5,51
0,0,0,6,6,52
0,0,0,26,26,53
0,0,0,6,6,54
0,0,0,6,6,55
0,0,0,9,9,56
0,0,0,5,5,57
0,0,0,4,4,58
0,0,0,3,3,59
0,0,0,7,7,60
0,0,0,2,2,61
0,0,0,13,13,62
1,0,0,5,6,63
1,0,0,26,27,64
0,0,0,20,20,65
0,1,0,18,19,66
0,0,0,38,38,67
1,0,0,35,36,68
2,0,0,43,45,69
1,0,0,55,56,70
0,0,0,11,11,71
0,0,0,12,12,72
0,0,0,62,62,73
2,0,0,163,165,74
1,1,0,171,173,75
0,0,0,7,7,76
0,0,0,3,3,77
0,0,0,14,14,78
0,0,0,13,13,79
1,0,0,0,1,80
0,0,0,51,51,81
0,0,1,33,34,82
0,0,0,68,68,83
0,0,0,69,69,84
1,0,0,18,19,85
0,1,0,23,24,86
0,0,0,29,29,87
0,0,0,4,4,88
1,0,0,20,21,89
1,0,0,8,9,90
0,0,0,12,12,91
0,0,0,9,9,92
0,0,0,0,0,93
0,0,0,2,2,94
0,0,0,0,0,95
0,0,0,2,2,96
0,0,0,6,6,97
0,0,0,4,4,98
1,0,0,43,44,99
0,0,0,19,19,100
0,0,0,2,2,101
0,0,0,4,4,102
0,0,0,12,12,103
0,0,0,13,13,104
0,0,0,35,35,105
0,0,0,0,0,106
1,0,0,12,13,107
1,0,0,75,76,108
0,1,0,13,14,109
0,0,0,2,2,110
0,0,0,13,13,111
0,0,0,5,5,112
0,0,0,9,9,113
1,0,0,9,10,114
0,0,0,14,14,115
0,0,0,27,27,116
0,0,0,0,0,117
0,0,0,26,26,118
0,0,1,15,16,119
0,0,0,23,23,120
0,0,0,6,6,121
0,0,0,13,13,122
0,0,0,15,15,123
1,0,0,3,4,124
0,0,0,36,36,125
0,0,0,35,35,126
0,0,0,2,2,127
0,0,0,7,7,128
0,0,0,25,25,129
0,0,0,41,41,130
1,0,0,94,95,131
0,0,0,24,24,132
0,0,0,32,32,133
0,0,0,8,8,134
0,0,0,25,25,135
0,0,0,11,11,136
0,0,0,8,8,137
1,0,0,8,9,138
0,0,0,14,14,139
0,0,0,0,0,140
0,0,0,11,11,141
1,0,0,17,18,142
0,0,0,3,3,143
0,0,0,11,11,144
0,1,0,3,4,145
0,0,0,13,13,146
0,0,0,5,5,147
0,0,0,1,1,148
3,2,2,723,730,149
0,0,0,26,26,150
0,1,0,12,13,151
0,0,0,89,89,152
1,0,0,9,10,153
0,0,0,26,26,154
0,0,0,24,24,155
0,0,0,2,2,156
0,0,0,2,2,157
1,0,0,51,52,158
0,0,0,14,14,159
0,0,0,27,27,160
0,0,0,44,44,161
1,1,0,230,232,162
0,0,1,212,213,163
0,0,0,0,0,164
0,0,0,52,52,165
0,0,0,22,22,166
0,0,0,7,7,167
0,0,1,42,43,168
0,0,0,111,111,169
0,0,0,65,65,170
0,0,0,62,62,171
0,0,1,54,55,172
1,0,0,58,59,173
0,0,0,30,30,174
0,0,0,43,43,175
0,0,0,9,9,176
0,0,0,3,3,177
0,0,0,35,35,178
0,0,0,23,23,179
0,0,0,88,88,180
0,0,0,9,9,181
0,0,0,64,64,182
0,0,0,0,0,183
0,0,0,9,9,184
1,0,0,19,20,185
0,1,0,63,64,186
0,0,0,8,8,187
1,0,0,15,16,188
