경찰서,119안전센터,치안센터,CCTV수,치안,dong_id,치안_점수
0,0,0,36,36,1,2
0,1,0,16,17,2,2
1,0,0,1,2,3,1
0,0,0,0,0,4,1
0,0,0,2,2,5,1
1,0,0,9,10,6,1
0,0,0,0,0,7,1
0,0,0,6,6,8,1
0,0,0,25,25,9,2
0,0,0,17,17,10,2
1,0,0,36,37,11,2
0,0,0,12,12,12,1
0,0,0,10,10,13,1
0,0,0,4,4,14,1
1,0,0,26,27,15,2
0,0,0,0,0,16,1
0,0,0,3,3,17,1
0,0,0,0,0,18,1
0,0,0,11,11,19,1
1,0,0,6,7,20,1
0,0,0,8,8,21,1
0,0,0,2,2,22,1
0,0,0,4,4,23,1
1,0,0,2,3,24,1
0,0,0,0,0,25,1
0,0,0,3,3,26,1
0,0,0,3,3,27,1
0,0,0,3,3,28,1
0,0,0,0,0,29,1
0,0,0,9,9,30,1
0,0,0,3,3,31,1
0,1,0,1,2,32,1
0,0,0,10,10,33,1
0,0,0,0,0,34,1
1,0,0,9,10,35,1
0,0,0,7,7,36,1
0,0,0,10,10,37,1
1,0,0,9,10,38,1
0,0,0,0,0,39,1
0,0,0,18,18,40,2
0,0,0,5,5,41,1
1,0,0,3,4,42,1
0,0,0,3,3,43,1
0,0,0,3,3,44,1
0,0,0,3,3,45,1
0,0,0,9,9,46,1
0,0,0,0,0,47,1
0,0,0,6,6,48,1
0,0,0,25,25,49,2
0,0,0,17,17,50,2
0,1,1,3,5,51,1
0,0,0,6,6,52,1
0,0,0,26,26,53,2
0,0,0,6,6,54,1
0,0,0,6,6,55,1
0,0,0,9,9,56,1
0,0,0,5,5,57,1
0,0,0,4,4,58,1
0,0,0,3,3,59,1
0,0,0,7,7,60,1
0,0,0,2,2,61,1
0,0,0,13,13,62,2
1,0,0,5,6,63,1
1,0,0,26,27,64,2
0,0,0,20,20,65,2
0,1,0,18,19,66,2
0,0,0,38,38,67,2
1,0,0,35,36,68,2
2,0,0,43,45,69,2
1,0,0,55,56,70,2
0,0,0,11,11,71,1
0,0,0,12,12,72,1
0,0,0,62,62,73,2
2,0,0,163,165,74,3
1,1,0,171,173,75,3
0,0,0,7,7,76,1
0,0,0,3,3,77,1
0,0,0,14,14,78,2
0,0,0,13,13,79,2
1,0,0,0,1,80,1
0,0,0,51,51,81,2
0,0,1,33,34,82,2
0,0,0,68,68,83,2
0,0,0,69,69,84,2
1,0,0,18,19,85,2
0,1,0,23,24,86,2
0,0,0,29,29,87,2
0,0,0,4,4,88,1
1,0,0,20,21,89,2
1,0,0,8,9,90,1
0,0,0,12,12,91,1
0,0,0,9,9,92,1
0,0,0,0,0,93,1
0,0,0,2,2,94,1
0,0,0,0,0,95,1
0,0,0,2,2,96,1
0,0,0,6,6,97,1
0,0,0,4,4,98,1
1,0,0,43,44,99,2
0,0,0,19,19,100,2
0,0,0,2,2,101,1
0,0,0,4,4,102,1
0,0,0,12,12,103,1
0,0,0,13,13,104,2
0,0,0,35,35,105,2
0,0,0,0,0,106,1
1,0,0,12,13,107,2
1,0,0,75,76,108,3
0,1,0,13,14,109,2
0,0,0,2,2,110,1
0,0,0,13,13,111,2
0,0,0,5,5,112,1
0,0,0,9,9,113,1
1,0,0,9,10,114,1
0,0,0,14,14,115,2
0,0,0,27,27,116,2
0,0,0,0,0,117,1
0,0,0,26,26,118,2
0,0,1,15,16,119,2
0,0,0,23,23,120,2
0,0,0,6,6,121,1
0,0,0,13,13,122,2
0,0,0,15,15,123,2
1,0,0,3,4,124,1
0,0,0,36,36,125,2
0,0,0,35,35,126,2
0,0,0,2,2,127,1
0,0,0,7,7,128,1
0,0,0,25,25,129,2
0,0,0,41,41,130,2
1,0,0,94,95,131,3
0,0,0,24,24,132,2
0,0,0,32,32,133,2
0,0,0,8,8,134,1
0,0,0,25,25,135,2
0,0,0,11,11,136,1
0,0,0,8,8,137,1
1,0,0,8,9,138,1
0,0,0,14,14,139,2
0,0,0,0,0,140,1
0,0,0,11,11,141,1
