지하철역,버스정류소,대중교통,dong_id,대중교통_점수
0,7,7,1,2
0,0,0,2,1
0,1,1,3,1
0,2,2,4,1
0,2,2,5,1
0,4,4,6,1
1,0,1,7,1
0,3,3,8,1
0,1,1,9,1
0,3,3,10,1
0,2,2,11,1
0,0,0,12,1
0,0,0,13,1
0,4,4,14,1
0,10,10,15,2
0,0,0,16,1
0,0,0,17,1
0,0,0,18,1
1,15,16,19,2
0,5,5,20,2
0,3,3,21,1
0,0,0,22,1
0,1,1,23,1
0,0,0,24,1
0,1,1,25,1
1,4,5,26,2
0,2,2,27,1
0,1,1,28,1
0,5,5,29,2
0,5,5,30,2
0,1,1,31,1
0,4,4,32,1
0,0,0,33,1
0,7,7,34,2
0,5,5,35,2
0,2,2,36,1
0,1,1,37,1
0,6,6,38,2
0,2,2,39,1
0,7,7,40,2
1,2,3,41,1
0,1,1,42,1
0,1,1,43,1
0,0,0,44,1
0,1,1,45,1
0,8,8,46,2
0,4,4,47,1
0,6,6,48,2
0,3,3,49,1
0,0,0,50,1
1,1,2,51,1
0,0,0,52,1
1,0,1,53,1
0,1,1,54,1
0,1,1,55,1
1,7,8,56,2
0,2,2,57,1
0,3,3,58,1
0,4,4,59,1
0,1,1,60,1
0,6,6,61,2
0,3,3,62,1
1,7,8,63,2
1,4,5,64,2
0,2,2,65,1
0,15,15,66,2
0,3,3,67,1
0,2,2,68,1
0,11,11,69,2
0,5,5,70,2
0,5,5,71,2
1,2,3,72,1
0,10,10,73,2
2,15,17,74,2
2,18,20,75,2
0,4,4,76,1
1,6,7,77,2
0,1,1,78,1
0,1,1,79,1
0,6,6,80,2
0,4,4,81,1
0,18,18,82,2
0,36,36,83,3
0,9,9,84,2
0,19,19,85,2
0,6,6,86,2
0,5,5,87,2
0,0,0,88,1
0,0,0,89,1
0,5,5,90,2
1,4,5,91,2
0,3,3,92,1
0,2,2,93,1
0,1,1,94,1
0,0,0,95,1
0,0,0,96,1
0,1,1,97,1
0,2,2,98,1
1,5,6,99,2
0,0,0,100,1
0,7,7,101,2
0,6,6,102,2
0,4,4,103,1
0,2,2,104,1
1,8,9,105,2
0,5,5,106,2
0,8,8,107,2
0,3,3,108,1
0,3,3,109,1
0,0,0,110,1
0,2,2,111,1
1,2,3,112,1
0,0,0,113,1
0,0,0,114,1
0,1,1,115,1
0,1,1,116,1
0,0,0,117,1
0,3,3,118,1
0,2,2,119,1
0,1,1,120,1
0,0,0,121,1
0,1,1,122,1
0,1,1,123,1
0,4,4,124,1
2,1,3,125,1
0,0,0,126,1
0,0,0,127,1
0,0,0,128,1
0,3,3,129,1
0,3,3,130,1
1,10,11,131,2
1,0,1,132,1
1,5,6,133,2
0,2,2,134,1
0,8,8,135,2
0,1,1,136,1
1,4,5,137,2
0,2,2,138,1
1,2,3,139,1
0,3,3,140,1
0,0,0,141,1
2,3,5,142,2
0,1,1,143,1
0,0,0,144,1
0,1,1,145,1
0,0,0,146,1
0,0,0,147,1
0,0,0,148,1
6,43,49,149,3
1,2,3,150,1
0,1,1,151,1
0,6,6,152,2
1,4,5,153,2
1,3,4,154,1
0,2,2,155,1
0,3,3,156,1
0,1,1,157,1
0,8,8,158,2
0,0,0,159,1
0,1,1,160,1
0,3,3,161,1
0,19,19,162,2
0,26,26,163,3
1,3,4,164,1
1,9,10,165,2
0,3,3,166,1
0,3,3,167,1
1,6,7,168,2
0,8,8,169,2
0,3,3,170,1
0,10,10,171,2
0,3,3,172,1
0,10,10,173,2
0,5,5,174,2
0,4,4,175,1
0,2,2,176,1
0,4,4,177,1
0,4,4,178,1
0,9,9,179,2
1,14,15,180,2
0,6,6,181,2
0,11,11,182,2
0,6,6,183,2
0,3,3,184,1
2,5,7,185,2
1,11,12,186,2
0,1,1,187,1
1,3,4,188,1
0,22,22,189,3
0,31,31,190,3
1,34,35,191,3
1,39,40,192,3
0,6,6,193,2
0,13,13,194,2
0,0,0,195,1
0,6,6,196,2
0,11,11,197,2
0,5,5,198,2
1,27,28,199,3
0,3,3,200,1
0,4,4,201,1
1,29,30,202,3
0,20,20,203,2
4,69,73,204,3
0,31,31,205,3
0,37,37,206,3
1,18,19,207,2
0,25,25,208,3
1,28,29,209,3
1,44,45,210,3
1,46,47,211,3
1,51,52,212,3
0,12,12,213,2
3,12,15,214,2
1,87,88,215,3
3,11,14,216,2
2,57,59,217,3
1,36,37,218,3
1,57,58,219,3
3,17,20,220,2
0,25,25,221,3
2,10,12,222,2
1,28,29,223,3
1,28,29,224,3
1,48,49,225,3
0,41,41,226,3
1,59,60,227,3
0,24,24,228,3
0,9,9,229,2
0,31,31,230,3
0,37,37,231,3
3,125,128,232,3
1,31,32,233,3
1,42,43,234,3
1,50,51,235,3
0,67,67,236,3
2,69,71,237,3
0,35,35,238,3
0,7,7,239,2
0,46,46,240,3
0,2,2,241,1
0,3,3,242,1
0,2,2,243,1
0,2,2,244,1
0,2,2,245,1
0,2,2,246,1
0,3,3,247,1
1,5,6,248,2
0,13,13,249,2
0,7,7,250,2
0,3,3,251,1
0,5,5,252,2
0,2,2,253,1
0,6,6,254,2
0,0,0,255,1
1,2,3,256,1
0,1,1,257,1
0,4,4,258,1
0,6,6,259,2
0,0,0,260,1
0,1,1,261,1
1,20,21,262,2
0,1,1,263,1
0,1,1,264,1
0,0,0,265,1
0,2,2,266,1
1,4,5,267,2
0,1,1,268,1
0,1,1,269,1
0,133,133,270,3
1,39,40,271,3
1,57,58,272,3
1,54,55,273,3
1,11,12,274,2
0,99,99,275,3
1,30,31,276,3
2,150,152,277,3
0,98,98,278,3
1,144,145,279,3
0,16,16,280,2
0,94,94,281,3
0,78,78,282,3
2,114,116,283,3
1,82,83,284,3
1,106,107,285,3
4,107,111,286,3
1,55,56,287,3
6,191,197,288,3
1,75,76,289,3
0,18,18,290,2
2,23,25,291,3
1,63,64,292,3
2,72,74,293,3
1,34,35,294,3
2,26,28,295,3
0,82,82,296,3
0,51,51,297,3
4,74,78,298,3
2,12,14,299,2
1,61,62,300,3
0,11,11,301,2
2,18,20,302,2
0,0,0,303,1
0,3,3,304,1
0,6,6,305,2
0,8,8,306,2
0,0,0,307,1
0,8,8,308,2
1,15,16,309,2
0,26,26,310,3
2,75,77,311,3
0,12,12,312,2
0,11,11,313,2
0,4,4,314,1
0,2,2,315,1
0,21,21,316,2
0,56,56,317,3
0,97,97,318,3
0,44,44,319,3
0,42,42,320,3
2,22,24,321,3
2,21,23,322,3
0,9,9,323,2
1,38,39,324,3
0,8,8,325,2
0,2,2,326,1
0,2,2,327,1
1,24,25,328,3
1,12,13,329,2
1,14,15,330,2
0,25,25,331,3
0,0,0,332,1
0,5,5,333,2
1,34,35,334,3
1,18,19,335,2
0,4,4,336,1
3,165,168,337,3
0,1,1,338,1
1,58,59,339,3
1,18,19,340,2
1,29,30,341,3
1,53,54,342,3
0,22,22,343,3
2,61,63,344,3
0,8,8,345,2
0,89,89,346,3
2,88,90,347,3
0,80,80,348,3
0,37,37,349,3
0,75,75,350,3
3,189,192,351,3
0,44,44,352,3
2,71,73,353,3
0,47,47,354,3
0,20,20,355,2
1,40,41,356,3
3,76,79,357,3
0,10,10,358,2
0,3,3,359,1
0,2,2,360,1
0,2,2,361,1
2,41,43,362,3
3,154,157,363,3
0,9,9,364,2
0,69,69,365,3
0,87,87,366,3
0,45,45,367,3
0,31,31,368,3
1,15,16,369,2
1,29,30,370,3
0,30,30,371,3
1,105,106,372,3
0,110,110,373,3
0,139,139,374,3
0,14,14,375,2
1,1,2,376,1
0,5,5,377,2
0,6,6,378,2
0,8,8,379,2
1,2,3,380,1
0,3,3,381,1
0,9,9,382,2
0,7,7,383,2
2,58,60,384,3
0,5,5,385,2
0,6,6,386,2
2,5,7,387,2
0,6,6,388,2
0,19,19,389,2
0,5,5,390,2
1,17,18,391,2
0,24,24,392,3
0,3,3,393,1
0,3,3,394,1
1,20,21,395,2
0,2,2,396,1
0,6,6,397,2
0,8,8,398,2
0,10,10,399,2
1,6,7,400,2
0,13,13,401,2
0,8,8,402,2
0,6,6,403,2
0,4,4,404,1
0,6,6,405,2
1,142,143,406,3
1,66,67,407,3
0,0,0,408,1
0,38,38,409,3
2,131,133,410,3
1,16,17,411,2
0,26,26,412,3
0,50,50,413,3
1,16,17,414,2
5,82,87,415,3
2,50,52,416,3
1,41,42,417,3
2,210,212,418,3
1,273,274,419,3
0,6,6,420,2
3,159,162,421,3
0,70,70,422,3
0,38,38,423,3
0,7,7,424,2
2,38,40,425,3
2,81,83,426,3
5,182,187,427,3
0,26,26,428,3
0,13,13,429,2
0,24,24,430,3
2,71,73,431,3
0,76,76,432,3
1,25,26,433,3
6,56,62,434,3
2,66,68,435,3
3,44,47,436,3
0,17,17,437,2
0,34,34,438,3
0,17,17,439,2
0,12,12,440,2
2,41,43,441,3
1,27,28,442,3
2,42,44,443,3
4,42,46,444,3
4,21,25,445,3
0,32,32,446,3
0,19,19,447,2
2,17,19,448,2
1,12,13,449,2
5,61,66,450,3
1,48,49,451,3
2,48,50,452,3
5,45,50,453,3
2,32,34,454,3
1,41,42,455,3
1,28,29,456,3
2,40,42,457,3
1,40,41,458,3
2,59,61,459,3
1,36,37,460,3
3,37,40,461,3
1,29,30,462,3
1,54,55,463,3
3,51,54,464,3
0,49,49,465,3
