호선,역명,법정동,도로명주소,station_id
2호선,봉천,봉천동,서울특별시 관악구 남부순환로 지하1721(봉천동),1
1호선,서울,남대문로 5가,서울특별시 중구 세종대로 지하2(남대문로 5가),2
1호선,시청,정동,서울특별시 중구 세종대로 지하101(정동),3
1호선,종각,종로1가,서울특별시 종로구 종로 지하55(종로1가),4
1호선,종로3가,종로3가,서울특별시 종로구 종로 지하129(종로3가),5
1호선,종로5가,종로5가,서울특별시 종로구 종로 지하216(종로5가),6
1호선,동대문,창신동,서울특별시 종로구 종로 지하302(창신동),7
1호선,신설동,신설동,서울특별시 동대문구 왕산로 지하1(신설동),8
1호선,제기동,제기동,서울특별시 동대문구 왕산로 지하93(제기동),9
1호선,청량리(서울시립대입구),전농동,서울특별시 동대문구 왕산로 지하205(전농동),10
1호선,동묘앞,숭인동,서울특별시 종로구 종로 359(숭인동),11
2호선,시청,서소문동,서울특별시 중구 서소문로 지하127(서소문동),12
2호선,을지로입구,을지로1가,서울특별시 중구 을지로 지하42(을지로1가),13
2호선,을지로3가,을지로3가,서울특별시 중구 을지로 지하106(을지로3가),14
2호선,을지로4가,을지로4가,서울특별시 중구 을지로 지하178(을지로4가),15
2호선,동대문역사문화공원(DDP),을지로7가,서울특별시 중구 을지로 지하279(을지로7가),16
2호선,신당,신당동,서울특별시 중구 퇴계로 지하431-1(신당동),17
2호선,상왕십리,하왕십리동,서울특별시 성동구 왕십리로 지하374(하왕십리동),18
2호선,왕십리(성동구청),행당동,서울특별시 성동구 왕십리로 지하300(행당동),19
2호선,한양대,행당동,서울특별시 성동구 왕십리로 206(행당동),20
2호선,뚝섬,성수동1가,서울특별시 성동구 아차산로 18(성수동1가),21
2호선,성수,성수동2가,서울특별시 성동구 아차산로 100(성수동2가),22
2호선,건대입구,화양동,서울특별시 광진구 아차산로 243(화양동),23
2호선,구의(광진구청),구의동,서울특별시 광진구 아차산로 384-1(구의동),24
2호선,강변(동서울터미널),구의동,서울특별시 광진구 강변역로 53(구의동),25
2호선,잠실나루,신천동,서울특별시 송파구 오금로 20(신천동),26
2호선,잠실(송파구청),신천동,서울특별시 송파구 올림픽로 지하265(신천동),27
2호선,잠실새내,잠실동,서울특별시 송파구 올림픽로 지하140(잠실동),28
2호선,종합운동장,잠실동,서울특별시 송파구 올림픽로 지하23(잠실동),29
2호선,삼성(무역센터),삼성동,서울특별시 강남구 테헤란로 지하538(삼성동),30
2호선,선릉,삼성동,서울특별시 강남구 테헤란로 지하340(삼성동),31
2호선,역삼,역삼동,서울특별시 강남구 테헤란로 지하156(역삼동),32
2호선,강남,역삼동,서울특별시 강남구 강남대로 지하396(역삼동),33
2호선,"교대(법원, 검찰청)",서초동,서울특별시 서초구 서초대로 지하294(서초동),34
2호선,서초,서초동,서울특별시 서초구 서초대로 지하233(서초동),35
2호선,방배,방배동,서울특별시 서초구 방배로 지하80(방배동),36
2호선,사당,사당동,서울특별시 동작구 남부순환로 지하2089(사당동),37
2호선,낙성대(강감찬),봉천동,서울특별시 관악구 남부순환로 지하1928(봉천동),38
2호선,서울대입구(관악구청),봉천동,서울특별시 관악구 남부순환로 지하1822(봉천동),39
2호선,신림,신림동,서울특별시 관악구 남부순환로 지하1614(신림동),40
2호선,신대방,신대방동,서울특별시 동작구 대림로 2(신대방동),41
2호선,구로디지털단지,구로동,서울특별시 구로구 도림천로 477(구로동),42
2호선,대림(구로구청),구로동,서울특별시 구로구 도림천로 351(구로동),43
2호선,신도림,신도림동,서울특별시 구로구 새말로 지하 117-21(신도림동),44
2호선,문래,문래동3가,서울특별시 영등포구 당산로 지하28(문래동3가),45
2호선,영등포구청,당산동3가,서울특별시 영등포구 당산로 지하121(당산동3가),46
2호선,당산,당산동6가,서울특별시 영등포구 당산로 229(당산동6가),47
2호선,합정,서교동,서울특별시 마포구 양화로 지하55(서교동),48
2호선,홍대입구,동교동,서울특별시 마포구 양화로 지하160(동교동),49
2호선,신촌(지하),노고산동,서울특별시 마포구 신촌로 지하90(노고산동),50
2호선,이대,염리동,서울특별시 마포구 신촌로 지하180(염리동),51
2호선,아현,아현동,서울특별시 마포구 신촌로 지하270(아현동),52
2호선,충정로(경기대입구),충정로3가,서울특별시 서대문구 서소문로 지하17(충정로3가),53
2호선,용답,용답동,서울특별시 성동구 용답길 86(용답동),54
2호선,신답,용답동,서울특별시 성동구 천호대로 232(용답동),55
2호선,신설동,신설동,서울특별시 동대문구 왕산로 지하 1(신설동),56
2호선,도림천,신도림동,서울특별시 구로구 경인로67길 160(신도림동),57
2호선,양천구청,신정동,서울특별시 양천구 목동로3길 지하33(신정동),58
2호선,신정네거리,신정동,서울특별시 양천구 중앙로 지하261(신정동),59
2호선,용두(동대문구청),용두동,서울특별시 동대문구 천호대로 지하129(용두동),60
3호선,구파발,진관동,서울특별시 은평구 진관2로 지하15-25 (진관동),62
3호선,연신내,갈현동,서울특별시 은평구 통일로 지하849(갈현동),63
3호선,불광,대조동,서울특별시 은평구 통일로 지하723-1(대조동),64
3호선,녹번,녹번동,서울특별시 은평구 통일로 지하602-1(녹번동),65
3호선,홍제,홍제동,서울특별시 서대문구 통일로 지하440-1(홍제동),66
3호선,무악재,홍제동,서울특별시 서대문구 통일로 지하361(홍제동),67
3호선,독립문,현저동,서울특별시 서대문구 통일로 지하247(현저동),68
3호선,경복궁(정부서울청사),적선동,서울특별시 종로구 사직로 지하130(적선동),69
3호선,안국,안국동,서울특별시 종로구 율곡로 지하62(안국동),70
3호선,종로3가,묘동,서울특별시 종로구 돈화문로 지하30(묘동),71
3호선,을지로3가,을지로3가,서울특별시 중구 을지로 지하129(을지로3가),72
3호선,충무로,필동2가,서울특별시 중구 퇴계로 지하214(필동2가),73
3호선,동대입구,장충동2가,서울특별시 중구 동호로 지하256(장충동2가),74
3호선,약수,신당동,서울특별시 중구 다산로 지하122(신당동),75
3호선,금호,금호동4가,서울특별시 성동구 동호로 지하104(금호동4가),76
3호선,옥수,옥수동,서울특별시 성동구 동호로 21(옥수동),77
3호선,압구정,신사동,서울특별시 강남구 압구정로 지하172(신사동),78
3호선,신사,신사동,서울특별시 강남구 도산대로 지하102(신사동),79
3호선,잠원,잠원동,서울특별시 서초구 잠원로4길 지하46(잠원동),80
3호선,고속터미널,반포동,서울특별시 서초구 신반포로 지하188(반포동),81
3호선,"교대(법원, 검찰청)",서초동,서울특별시 서초구 서초대로 지하294(서초동),82
3호선,남부터미널(예술의전당),서초동,서울특별시 서초구 서초중앙로 지하31(서초동),83
3호선,양재(서초구청),서초동,서울특별시 서초구 남부순환로 지하2585(서초동),84
3호선,매봉,도곡동,서울특별시 강남구 남부순환로 지하2744(도곡동),85
3호선,도곡,도곡동,서울특별시 강남구 남부순환로 지하2814(도곡동),86
3호선,대치,대치동,서울특별시 강남구 남부순환로 지하2952(대치동),87
3호선,학여울,대치동,서울특별시 강남구 남부순환로 지하3104(대치동),88
3호선,대청,일원동,서울특별시 강남구 일원로 지하2(일원동),89
3호선,일원,일원동,서울특별시 강남구 일원로 지하121(일원동),90
3호선,수서,수서동,서울특별시 강남구 광평로 지하270(수서동),91
3호선,가락시장,가락동,서울특별시 송파구 송파대로 지하257(가락동),92
3호선,경찰병원,가락동,서울특별시 송파구 중대로 지하149(가락동),93
3호선,오금,오금동,서울특별시 송파구 오금로 지하321(오금동),94
4호선,당고개,상계동,서울특별시 노원구 상계로 305(상계동),95
4호선,상계,상계동,서울특별시 노원구 상계로 182(상계동),96
4호선,노원,상계동,서울특별시 노원구 상계로 69-1(상계동),97
4호선,창동,창동,서울특별시 도봉구 마들로11길 77(창동),98
4호선,쌍문,창동,서울특별시 도봉구 도봉로 지하 486-1(창동),99
4호선,수유(강북구청),수유동,서울특별시 강북구 도봉로 지하338(수유동),100
4호선,미아(서울사이버대학),미아동,서울특별시 강북구 도봉로 지하198(미아동),101
4호선,미아사거리 ,미아동,서울특별시 강북구 도봉로 지하50(미아동),102
4호선,길음,길음동,서울특별시 성북구 동소문로 지하248(길음동),103
4호선,성신여대입구(돈암),동선동4가,서울특별시 성북구 동소문로 지하102(동선동4가),104
4호선,한성대입구(삼선교),삼선동1가,서울특별시 성북구 삼선교로 지하1(삼선동1가),105
4호선,혜화,명륜4가,서울특별시 종로구 대학로 지하120(명륜4가),106
4호선,동대문,종로6가,서울특별시 종로구 율곡로 지하308(종로6가),107
4호선,동대문역사문화공원(DDP),광희동2가,서울특별시 중구 장충단로 지하230(광희동2가),108
4호선,충무로,필동2가,서울특별시 중구 퇴계로 지하214(필동2가),109
4호선,명동,충무로2가,서울특별시 중구 퇴계로 지하126(충무로2가),110
4호선,회현(남대문시장),남창동,서울특별시 중구 퇴계로 지하54(남창동),111
4호선,서울,동자동,서울특별시 용산구 한강대로 지하392(동자동),112
4호선,숙대입구(갈월),갈월동,서울특별시 용산구 한강대로 지하306(갈월동),113
4호선,삼각지,한강로1가,서울특별시 용산구 한강대로 지하180(한강로1가),114
4호선,신용산,한강로2가,서울특별시 용산구 한강대로 지하112(한강로2가),115
4호선,이촌(국립중앙박물관),용산동5가,서울특별시 용산구 서빙고로 지하83(용산동5가),116
4호선,동작(현충원),동작동,서울특별시 동작구 현충로 257(동작동),117
4호선,총신대입구(이수),사당동,서울특별시 동작구 동작대로 지하117(사당동),118
4호선,사당,사당동,서울특별시 동작구  동작대로 지하3(사당동),119
4호선,남태령,방배동,서울특별시 서초구 과천대로 지하816(방배동),120
5호선,방화,방화동,서울특별시 강서구 금낭화로 지하132(방화동),121
5호선,개화산,방화동,서울특별시 강서구 양천로 22(방화동),122
5호선,김포공항,방화동,서울특별시 강서구 하늘길 지하77(방화동),123
5호선,송정,공항동,서울특별시 강서구 공항대로 지하33(공항동),124
5호선,마곡,마곡동,서울특별시 강서구 공항대로 지하163(마곡동),125
5호선,발산,마곡동,서울특별시 강서구 공항대로 지하267(마곡동),126
5호선,우장산,화곡동,서울특별시 강서구 강서로 지하262(화곡동),127
5호선,화곡,화곡동,서울특별시 강서구 화곡로 지하168(화곡동),128
5호선,까치산,화곡동,서울특별시 강서구 강서로 지하54(화곡동),129
5호선,신정(은행정),신정동,서울특별시 양천구 오목로 지하179(신정동),130
5호선,목동,목동,서울특별시 양천구 오목로 지하245(목동),131
5호선,오목교(목동운동장앞),목동,서울특별시 양천구 오목로 지하342(목동),132
5호선,양평,양평동2가,서울특별시 영등포구 양산로 지하21(양평동2가),133
5호선,영등포구청,당산동3가,서울특별시 영등포구 양산로 지하116(당산동3가),134
5호선,영등포시장,영등포동5가,서울특별시 영등포구 양산로 지하200(영등포동5가),135
5호선,신길,영등포동1가,서울특별시 영등포구 경인로114가길 지하9(영등포동1가),136
5호선,여의도,여의도동,서울특별시 영등포구 여의나루로 지하40(여의도동),137
5호선,여의나루,여의도동,서울특별시 영등포구 여의동로 지하343(여의도동),138
5호선,마포,도화동,서울특별시 마포구 마포대로 지하33(도화동),139
5호선,공덕,공덕동,서울특별시 마포구 마포대로 지하100(공덕동),140
5호선,애오개,아현동,서울특별시 마포구 마포대로 지하210(아현동),141
5호선,충정로(경기대입구),충정로3가,서울특별시 서대문구 충정로 지하 28-1(충정로3가),142
5호선,서대문,평동,서울특별시 종로구 통일로 지하126(평동),143
5호선,광화문(세종문화회관),세종로,서울특별시 종로구 세종대로 지하172(세종로),144
5호선,종로3가(탑골공원),돈의동,서울특별시 종로구 돈화문로11길 지하 26(돈의동),145
5호선,을지로4가,주교동,서울특별시 중구 창경궁로 지하51(주교동),146
5호선,동대문역사문화공원(DDP),광희동1가,서울특별시 중구 마른내로 지하162(광희동1가),147
5호선,청구,신당동,서울특별시 중구 청구로 지하77(신당동),148
5호선,신금호,금호동2가,서울특별시 성동구 금호로 지하154(금호동2가),149
5호선,행당,행당동,서울특별시 성동구 행당로 지하89(행당동),150
5호선,왕십리(성동구청),행당동,서울특별시 성동구 왕십리로 지하300(행당동),151
5호선,마장,마장동,서울특별시 성동구 마장로 지하296(마장동),152
5호선,답십리,용답동,서울특별시 성동구 천호대로 지하300(용답동),153
5호선,장한평,장안동,서울특별시 동대문구 천호대로 지하405(장안동),154
5호선,군자(능동),능동,서울특별시 광진구 천호대로 지하550(능동),155
5호선,아차산(어린이대공원후문),능동,서울특별시 광진구 천호대로 지하657(능동),156
5호선,광나루(장신대),광장동,서울특별시 광진구 아차산로 지하571(광장동),157
5호선,천호(풍납토성),천호동,서울특별시 강동구 천호대로 지하997(천호동),158
