dong_name,safety_cnt,leisure_cnt,food_cnt,health_cnt,conv_cnt,transp_cnt,cafe_cnt,pub_cnt,gu_id,dongx,dongy
청운동,36,0,18,0,1,7,8,0,23,37.587111,126.969069
신교동,17,0,8,1,0,0,1,0,23,37.583911,126.968354
궁정동,2,0,1,0,0,1,1,0,23,37.584381,126.971489
효자동,0,0,11,0,0,2,4,0,23,37.582416,126.971670
창성동,2,1,22,4,2,2,2,0,23,37.580363,126.972065
통의동,10,1,70,1,0,4,8,0,23,37.578307,126.972872
적선동,0,1,79,12,0,1,13,0,23,37.576122,126.973453
통인동,6,0,96,1,0,3,5,0,23,37.580141,126.970127
누상동,25,0,20,0,0,1,2,0,23,37.580478,126.965838
누하동,17,0,55,3,0,3,6,0,23,37.579423,126.968521
옥인동,37,0,30,3,0,2,4,1,23,37.582175,126.967275
체부동,12,0,81,2,2,0,9,0,23,37.577645,126.970877
필운동,10,0,80,0,1,0,4,1,23,37.577076,126.968848
내자동,4,3,84,11,0,4,3,0,23,37.575641,126.971177
사직동,27,2,33,1,1,10,10,0,23,37.573711,126.966295
도렴동,0,0,44,2,2,0,6,0,23,37.572445,126.975158
당주동,3,1,151,13,0,0,14,7,23,37.571429,126.974570
내수동,0,9,114,6,3,0,9,3,23,37.573113,126.971819
세종로,11,1,29,5,0,16,9,0,23,37.572655,126.976742
신문로1가,7,4,76,21,3,5,13,0,23,37.570366,126.973968
신문로2가,8,5,77,2,0,3,9,0,23,37.571299,126.968815
청진동,2,0,155,18,4,0,24,5,23,37.571886,126.980676
서린동,4,1,37,5,1,1,13,0,23,37.569668,126.979809
수송동,3,0,116,8,2,0,13,1,23,37.573994,126.981139
중학동,0,0,27,0,0,1,3,0,23,37.575301,126.979265
종로1가,3,3,78,19,1,5,17,0,23,37.570479,126.980434
공평동,3,1,51,2,2,2,10,1,23,37.571692,126.982996
관훈동,3,0,174,1,0,1,10,1,23,37.574336,126.984857
견지동,0,1,30,6,0,5,4,1,23,37.573529,126.983065
와룡동,9,0,23,3,1,5,10,1,23,37.576950,126.991141
권농동,3,0,31,0,0,1,0,0,23,37.575619,126.991498
운니동,2,0,36,0,0,4,3,2,23,37.576159,126.989206
익선동,10,0,145,0,2,0,10,0,23,37.574082,126.989819
경운동,0,0,19,8,0,7,1,0,23,37.574538,126.986664
관철동,10,2,351,12,4,5,22,12,23,37.569182,126.986053
인사동,7,0,122,3,0,2,1,2,23,37.571837,126.986206
낙원동,10,3,217,6,5,1,5,15,23,37.572558,126.988732
종로2가,10,0,65,17,1,6,24,1,23,37.570195,126.986454
팔판동,0,0,28,0,0,2,3,0,23,37.582882,126.980836
삼청동,18,1,93,0,0,7,19,0,23,37.585404,126.982123
안국동,5,0,37,6,0,3,13,0,23,37.577515,126.983939
소격동,4,1,43,3,0,1,6,0,23,37.580122,126.981424
화동,3,0,30,0,0,1,3,0,23,37.580693,126.982268
사간동,3,0,25,0,1,0,3,0,23,37.577668,126.980593
송현동,3,0,0,0,0,1,1,0,23,37.577322,126.982187
가회동,9,0,21,1,0,8,11,0,23,37.582235,126.984666
재동,0,0,73,2,2,4,9,1,23,37.578363,126.985575
계동,6,0,67,3,2,6,23,1,23,37.581321,126.987016
원서동,25,1,27,0,0,3,3,0,23,37.581687,126.988696
훈정동,17,0,0,0,0,0,0,0,23,37.570980,126.995131
묘동,5,0,75,4,2,2,10,3,23,37.572598,126.991715
봉익동,6,0,41,1,0,0,6,0,23,37.572398,126.992873
돈의동,26,6,122,2,0,1,5,6,23,37.572085,126.990736
장사동,6,0,23,0,0,1,5,4,23,37.569411,126.993830
관수동,6,0,93,3,3,1,11,4,23,37.569200,126.990527
종로3가,9,1,61,21,0,8,8,1,23,37.570337,126.992072
인의동,5,0,63,4,2,2,8,2,23,37.573102,126.997921
예지동,4,0,25,0,2,3,3,0,23,37.569643,126.997971
원남동,3,2,34,5,0,4,8,2,23,37.575326,126.997429
연지동,7,0,54,2,0,1,12,6,23,37.573590,126.999447
종로4가,2,0,37,21,0,6,3,0,23,37.570618,126.998135
효제동,13,0,93,6,0,3,8,15,23,37.572859,127.003417
종로5가,6,0,212,58,2,8,19,0,23,37.570540,127.003794
종로6가,27,0,89,25,3,5,17,1,23,37.572572,127.006996
이화동,20,1,57,0,1,2,5,0,23,37.577066,127.006358
연건동,19,2,66,12,0,15,20,0,23,37.577500,127.000903
충신동,38,0,25,2,1,3,3,3,23,37.575189,127.006471
동숭동,36,0,237,8,4,2,39,0,23,37.581654,127.005083
혜화동,45,3,88,15,3,11,20,2,23,37.587955,127.001157
명륜1가,56,1,45,6,2,5,6,1,23,37.588347,126.997733
명륜2가,11,10,161,7,2,5,22,3,23,37.584521,126.998638
명륜4가,12,1,212,10,2,3,16,1,23,37.582225,127.000008
명륜3가,62,0,96,1,1,10,14,2,23,37.588359,126.994739
창신동,165,4,411,47,10,17,33,17,23,37.574729,127.012062
숭인동,173,6,285,22,14,20,20,15,23,37.575979,127.018802
교남동,7,2,31,3,2,4,0,2,23,37.567917,126.965108
평동,3,0,43,16,2,7,11,0,23,37.567121,126.967018
송월동,14,0,5,0,0,1,0,0,23,37.569779,126.965760
홍파동,13,0,16,4,0,1,2,0,23,37.571862,126.965154
교북동,1,0,25,3,0,6,4,1,23,37.572612,126.960436
행촌동,51,0,21,1,0,4,1,0,23,37.574294,126.962469
구기동,34,1,48,5,2,18,5,0,23,37.609211,126.957246
평창동,68,4,72,9,2,36,32,2,23,37.610420,126.969837
부암동,69,1,63,2,1,9,12,0,23,37.594148,126.964248
홍지동,19,0,38,1,3,19,10,0,23,37.600310,126.957773
신영동,24,2,21,2,0,6,7,0,23,37.602696,126.961378
무악동,29,1,46,9,3,5,8,1,23,37.575906,126.959334
무교동,4,2,46,18,2,0,8,2,24,37.567732,126.979171
다동,21,3,127,7,2,0,25,6,24,37.567577,126.981026
태평로1가,9,3,66,4,1,5,13,0,24,37.568174,126.976805
을지로1가,12,0,34,5,2,5,13,0,24,37.566295,126.980137
을지로2가,9,1,138,23,5,3,42,3,24,37.565757,126.985892
남대문로1가,0,0,9,0,1,2,2,0,24,37.567451,126.982976
삼각동,2,0,3,4,0,1,3,0,24,37.567588,126.983748
수하동,0,1,32,2,3,0,2,0,24,37.567242,126.984082
장교동,2,3,13,3,3,0,2,0,24,37.567116,126.987193
수표동,6,1,24,3,1,1,10,1,24,37.567358,126.989674
소공동,4,0,70,5,5,2,18,0,24,37.563731,126.980135
남창동,44,0,107,19,6,6,31,1,24,37.558450,126.977464
북창동,19,0,103,2,4,0,5,15,24,37.562500,126.978056
태평로2가,2,1,80,6,3,7,17,2,24,37.563334,126.976861
남대문로2가,4,5,20,3,1,6,8,1,24,37.563785,126.981752
남대문로3가,12,1,26,5,0,4,3,0,24,37.561033,126.978259
남대문로4가,13,1,40,5,1,2,6,1,24,37.560635,126.976863
남대문로5가,35,2,145,24,6,9,41,1,24,37.557154,126.974366
봉래동1가,0,1,20,5,1,5,7,0,24,37.558687,126.972589
봉래동2가,13,1,12,1,3,8,7,0,24,37.557841,126.970620
회현동1가,76,1,87,14,7,3,25,0,24,37.557439,126.980748
