법정동명,지하철역,버스정류소,서점,골프연습장업,목욕장업,석유판매업,세탁업,영화상영관,제과점영업,체력단련장업,병원,약국,의원,치안센터,경찰서,119안전센터,공원수,노래방수,당구장,음식점수,장보기시설,쇼핑시설,유흥주점,헬스시설,다방,커피숍,패스트푸드,편의점,마트,음식점
청운동,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,11.0
신교동,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,1,11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0
궁정동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
효자동,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0
창성동,0,2,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,23,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,14.0
통의동,0,4,3,0,0,0,0,0,3,1,0,0,1,0,1,0,0,3,0,75,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,49.0
적선동,1,0,0,0,1,0,0,0,0,1,0,3,9,0,0,0,0,1,0,81,0.0,0.0,0.0,1.0,1.0,12.0,2.0,0.0,0.0,58.0
통인동,0,3,2,0,2,0,0,0,2,0,0,1,0,0,0,0,0,1,0,85,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,61.0
누상동,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0
누하동,0,3,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,55,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,31.0
옥인동,0,2,3,0,0,0,1,0,1,0,0,2,1,0,1,0,1,0,0,31,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,18.0
체부동,0,0,1,0,0,0,0,0,4,0,0,0,2,0,0,0,0,1,2,92,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,61.0
필운동,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,78,0.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,0.0,58.0
내자동,0,4,0,0,0,0,1,0,1,2,1,4,6,0,0,0,0,2,0,95,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,66.0
사직동,0,10,0,2,1,1,1,0,0,2,0,1,0,0,1,0,1,0,0,44,0.0,0.0,0.0,2.0,1.0,9.0,0.0,1.0,0.0,25.0
도렴동,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,62,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,34.0
당주동,0,0,2,0,0,0,2,0,3,1,0,2,11,0,0,0,0,1,2,161,0.0,0.0,7.0,1.0,1.0,13.0,0.0,0.0,0.0,120.0
내수동,0,0,0,1,1,0,4,0,4,7,0,0,6,0,0,0,2,0,1,144,0.0,0.0,1.0,9.0,0.0,9.0,0.0,3.0,0.0,82.0
세종로,1,15,1,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,26,0.0,0.0,0.0,0.0,3.0,6.0,1.0,0.0,0.0,24.0
신문로1가,0,5,0,0,0,0,0,2,0,2,0,3,18,0,1,0,2,0,0,105,1.0,0.0,0.0,0.0,0.0,13.0,1.0,3.0,0.0,51.0
신문로2가,0,3,0,0,0,0,0,2,1,2,1,0,1,0,0,0,1,0,0,102,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,62.0
청진동,0,0,1,0,0,0,0,0,2,0,0,5,13,0,0,0,1,0,2,198,0.0,0.0,5.0,0.0,0.0,24.0,1.0,4.0,0.0,121.0
서린동,0,1,1,0,0,0,0,0,0,1,0,1,4,0,0,0,1,0,0,43,1.0,0.0,0.0,1.0,1.0,12.0,1.0,1.0,0.0,27.0
수송동,0,0,0,0,0,1,1,0,1,0,0,2,6,0,1,0,1,0,2,122,0.0,0.0,1.0,0.0,0.0,13.0,0.0,2.0,0.0,87.0
중학동,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,25.0
종로1가,1,4,0,0,0,0,1,0,3,2,0,5,14,0,0,0,0,0,0,98,0.0,1.0,0.0,0.0,1.0,16.0,0.0,0.0,1.0,63.0
공평동,0,2,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,54,0.0,0.0,1.0,1.0,2.0,8.0,0.0,2.0,0.0,37.0
관훈동,0,1,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,202,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,159.0
견지동,0,5,0,0,0,0,0,0,2,1,0,1,5,0,0,0,0,0,1,35,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,26.0
와룡동,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,21,0.0,0.0,1.0,0.0,1.0,9.0,1.0,1.0,0.0,15.0
권농동,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
운니동,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,35,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,29.0
익선동,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,152,0.0,0.0,0.0,0.0,0.0,10.0,2.0,2.0,0.0,100.0
경운동,0,7,1,1,0,0,0,0,0,0,0,2,6,0,0,0,0,0,2,22,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0
관철동,0,5,0,2,0,0,0,0,1,1,0,3,9,0,1,0,0,18,7,369,0.0,0.0,10.0,2.0,5.0,17.0,0.0,4.0,0.0,254.0
인사동,0,2,0,0,1,0,2,0,0,0,0,0,3,0,0,0,1,1,0,164,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0
낙원동,0,1,0,0,3,0,2,2,4,1,0,2,4,0,0,0,0,2,7,232,0.0,2.0,12.0,1.0,1.0,4.0,0.0,3.0,2.0,153.0
종로2가,0,6,1,0,0,0,0,0,2,0,0,4,13,0,1,0,1,1,1,60,0.0,0.0,0.0,0.0,3.0,21.0,3.0,1.0,0.0,47.0
팔판동,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,16.0
삼청동,0,7,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,100,0.0,0.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,72.0
안국동,1,2,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,37,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,26.0
소격동,0,1,0,0,0,0,1,0,1,1,0,1,2,0,1,0,0,0,0,44,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,34.0
화동,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,17.0
사간동,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,15.0
송현동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
가회동,0,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,24,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,12.0
재동,0,4,1,0,0,0,1,0,2,0,0,0,2,0,0,0,0,3,1,75,0.0,0.0,1.0,0.0,0.0,9.0,0.0,2.0,0.0,51.0
계동,0,6,1,0,0,0,1,0,8,0,0,1,2,0,0,0,0,0,1,74,0.0,0.0,0.0,0.0,1.0,22.0,0.0,2.0,0.0,43.0
