,법정동,치안,여가,일반음식점,보건,편의시설,대중교통,카페,술집,군집
0,청운동,2,1,1,1,1,2,1,1,0
1,신교동,2,1,1,1,1,1,1,1,0
2,궁정동,1,1,1,1,1,1,1,1,0
3,효자동,1,1,1,1,1,1,1,1,0
4,창성동,1,1,1,1,1,1,1,1,0
5,통의동,1,1,2,1,1,1,1,1,0
6,적선동,1,1,2,2,1,1,2,1,3
7,통인동,1,1,2,1,1,1,1,1,0
8,누상동,2,1,1,1,1,1,1,1,0
9,누하동,2,1,2,1,1,1,1,1,0
10,옥인동,2,1,1,1,1,1,1,1,0
11,체부동,1,1,2,1,1,1,2,1,0
12,필운동,1,1,2,1,1,1,1,1,0
13,내자동,1,2,2,2,1,1,1,1,3
14,사직동,2,2,1,1,1,2,2,1,6
15,도렴동,1,1,1,1,1,1,1,1,0
16,당주동,1,1,2,2,1,1,2,2,3
17,내수동,1,3,2,2,2,1,2,2,5
18,세종로,1,1,1,1,1,2,2,1,0
19,신문로1가,1,2,2,2,2,2,2,1,6
20,신문로2가,1,2,2,1,1,1,2,1,3
21,청진동,1,1,2,2,2,1,2,2,3
22,서린동,1,1,1,1,1,1,2,1,0
23,수송동,1,1,2,2,1,1,2,1,3
24,중학동,1,1,1,1,1,1,1,1,0
25,종로1가,1,2,2,2,1,2,2,1,6
26,공평동,1,1,2,1,1,1,2,1,0
27,관훈동,1,1,2,1,1,1,2,1,0
28,견지동,1,1,1,2,1,2,1,1,0
29,와룡동,1,1,1,1,1,2,2,1,0
30,권농동,1,1,1,1,1,1,1,1,0
31,운니동,1,1,1,1,1,1,1,2,3
32,익선동,1,1,2,1,1,1,2,1,0
33,경운동,1,1,1,2,1,2,1,1,0
34,관철동,1,2,3,2,2,2,2,2,5
35,인사동,1,1,2,1,1,1,1,2,3
36,낙원동,1,2,3,2,2,1,1,2,3
37,종로2가,1,1,2,2,1,2,2,1,6
38,팔판동,1,1,1,1,1,1,1,1,0
39,삼청동,2,1,2,1,1,2,2,1,6
40,안국동,1,1,1,2,1,1,2,1,0
41,소격동,1,1,1,1,1,1,1,1,0
42,화동,1,1,1,1,1,1,1,1,0
43,사간동,1,1,1,1,1,1,1,1,0
44,송현동,1,1,1,1,1,1,1,1,0
45,가회동,1,1,1,1,1,2,2,1,0
46,재동,1,1,2,1,1,1,2,1,0
47,계동,1,1,2,1,1,2,2,1,6
48,원서동,2,1,1,1,1,1,1,1,0
49,훈정동,2,1,1,1,1,1,1,1,0
50,묘동,1,1,2,1,1,1,2,2,3
51,봉익동,1,1,1,1,1,1,1,1,0
52,돈의동,2,2,2,1,1,1,1,2,3
53,장사동,1,1,1,1,1,1,1,2,3
54,관수동,1,1,2,1,2,1,2,2,3
55,종로3가,1,1,2,2,1,2,1,1,6
56,인의동,1,1,2,1,1,1,1,2,3
57,예지동,1,1,1,1,1,1,1,1,0
58,원남동,1,2,1,1,1,1,1,2,3
59,연지동,1,1,2,1,1,1,2,2,3
60,종로4가,1,1,1,2,1,2,1,1,0
61,효제동,2,1,2,2,1,1,1,2,3
62,종로5가,1,1,3,3,1,2,2,1,5
